Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Ni (at.%),composition,Ti (at.%)
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,70.0,6.641485,48.5,Ni48.5Ti51.5 %,51.5
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,16.0,6.962758,55.8,Ni55.8Ti44.2 %,44.2
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,29.0,7.253224,62.4,Ni62.4Ti37.6 %,37.6
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,29.0,7.27963,63.0,Ni63.0Ti37.0 %,37.0
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,24.0,7.350046,64.6,Ni64.6Ti35.4 %,35.4
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,27.0,7.556893,69.3,Ni69.3Ti30.7 %,30.7
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,13.0,7.561294,69.4,Ni69.4Ti30.6 %,30.6
F. Gil and J. Planell,Journal of Biomedical Materials ReseVARh Part A,Effect of copper addition on the superelastic behavior of Ni‐Ti shape memory alloys for orthodontic applications,1999.0,31.0,7.570096,69.6,Ni69.6Ti30.4 %,30.4
S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,67.0,6.650287,48.7,Ni48.7Ti51.3 %,51.3
S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,61.0,6.650287,48.7,Ni48.7Ti51.3 %,51.3
S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,57.0,6.650287,48.7,Ni48.7Ti51.3 %,51.3
B. Winzek and E. Quandt,Zeitschrift für Metallkunde,Shape-memory Ti-Ni-X-films (X = Cu;Pd) under constraint,1999.0,78.0,6.610678,47.8,Ni47.8Ti52.2 %,52.2
M. Es-Souni; M. Es-Souni and H. F. Brandies,Biomaterials,On the transformation behaviour; mechanical properties and biocompatibility of two NiTi-based shape memory alloys,2001.0,92.0,6.83953,53.0,Ni53.0Ti47.0 %,47.0
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,53.0,6.7088203,50.03,Ni50.03Ti49.97 %,49.97
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,57.0,6.7088203,50.03,Ni50.03Ti49.97 %,49.97
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,28.0,6.7088203,50.03,Ni50.03Ti49.97 %,49.97
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,57.0,6.7088203,50.03,Ni50.03Ti49.97 %,49.97
J. Uchil; K. K. Mahesh and K. Ganesh Kumara,Journal of Materials Science,Dilatometric study of martensitic transformation in NiTiCu and NiTi shape memory alloys,2001.0,52.0,6.7088203,50.03,Ni50.03Ti49.97 %,49.97
M. Iijima; H. Ohno; I. Kawashima; K. Endo and I. Mizoguchi,Dental Materials,Mechanical behavior at different temperatures and stresses for superelastic nickel–titanium orthodontic wires having different transformation temperatures,2002.0,23.0,6.738307,50.7,Ni50.7Ti49.3 %,49.3
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,53.0,6.733906,50.6,Ni50.6Ti49.4 %,49.4
H. Du and Y. Fu,Surface and Coatings Technology,Deposition and characterization of Ti1−x(Ni;Cu)x shape memory alloy thin films,2004.0,22.0,6.694297,49.7,Ni49.7Ti50.3 %,50.3
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,4.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,13.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,17.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,25.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,34.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,32.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,25.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,29.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,25.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,22.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
R. Santamarta; E. Cesari; J. Pons and T. Goryczka,Metallurgical and Materials Transactions A,Shape memory properties of Ni-Ti based Melt Spun ribbons,2004.0,41.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
R. Santamarta; E. Cesari; J. Pons and T. Goryczka,Metallurgical and Materials Transactions A,Shape memory properties of Ni-Ti based Melt Spun ribbons,2004.0,29.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
R. Santamarta; E. Cesari; J. Pons and T. Goryczka,Metallurgical and Materials Transactions A,Shape memory properties of Ni-Ti based Melt Spun ribbons,2004.0,39.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
R. Santamarta; E. Cesari; J. Pons and T. Goryczka,Metallurgical and Materials Transactions A,Shape memory properties of Ni-Ti based Melt Spun ribbons,2004.0,38.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,71.0,6.641485,48.5,Ni48.5Ti51.5 %,51.5
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,56.0,6.641485,48.5,Ni48.5Ti51.5 %,51.5
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,60.0,6.641485,48.5,Ni48.5Ti51.5 %,51.5
Y.-W. Kim; S.-H. Lee and T.-H. Nam,Physica Scripta,Microstructure modifications of Ti–Ni–Cu shape memory alloy strips fabricated by VAR melt overflow process,2007.0,57.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
T.-h. Nam; J.-h. Lee; D.-w. Jung; C.-a. Yu; Y. Liu and Y.-w. Kim,Materials Science and Engineering: A,Transformation behaviour of Ti–Ni and Ti–Ni–Cu alloy ribbons with nano Ti2Ni particles,2007.0,59.0,6.66349,49.0,Ni49.0Ti51.0 %,51.0
T.-h. Nam; J.-h. Lee; D.-w. Jung; C.-a. Yu; Y. Liu and Y.-w. Kim,Materials Science and Engineering: A,Transformation behaviour of Ti–Ni and Ti–Ni–Cu alloy ribbons with nano Ti2Ni particles,2007.0,55.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,61.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,67.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,64.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,63.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,62.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka; A. Oppenkowski; C. Somsen; K. Neuking; W. Theisen and G. Eggeler,Materialwissenschaft und Werkstofftechnik,Processing and property assessment of NiTi and NiTiCu shape memory actuator springs,2008.0,73.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
A. J. Muir Wood; S. Sanjabi; Y. Q. Fu; Z. H. Barber and T. W. Clyne,Surface and Coatings Technology,Nanoindentation of binary and ternary Ni–Ti-based shape memory alloy thin films,2008.0,35.0,6.584272,47.2,Ni47.2Ti52.8 %,52.8
A. J. Muir Wood; S. Sanjabi; Y. Q. Fu; Z. H. Barber and T. W. Clyne,Surface and Coatings Technology,Nanoindentation of binary and ternary Ni–Ti-based shape memory alloy thin films,2008.0,65.0,6.681094,49.4,Ni49.4Ti50.6 %,50.6
A. J. Muir Wood; S. Sanjabi; Y. Q. Fu; Z. H. Barber and T. W. Clyne,Surface and Coatings Technology,Nanoindentation of binary and ternary Ni–Ti-based shape memory alloy thin films,2008.0,70.0,6.760312,51.2,Ni51.2Ti48.8 %,48.8
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,62.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,75.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
C. Grossmann; J. Frenzel; V. Sampath; T. Depka and G. Eggeler,Metallurgical and Materials Transactions A,Elementary Transformation and Deformation Processes and the Cyclic Stability of NiTi and NiTiCu Shape Memory Spring Actuators,2009.0,83.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
N. Okada; Y. Fujii; Y. Ishikawa; M. Onoda; H. Y. Kim and S. Miyazaki,Journal of the Japan Institute of Metals,Effect of Zr Content on Shape Memory Characteristics and Workability of Ti-Ni-Zr Alloy,2008.0,25.0,6.685495,49.5,Ni49.5Ti50.5 %,50.5
C. J. Araújo; N. J. Silva; M. M. Silva and C. H. Gonzalez,Materials & Design,A comparative study of Ni–Ti and Ni–Ti–Cu shape memory alloy processed by plasma melting and injection molding,2011.0,65.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
B. Ingale; W. Wei; P. Chang; Y. Kuo and S. Wu,Journal of Applied Physics,Anomalous transport and thermal properties of NiTi and with Cu and Fe-doped shape memory alloys near the martensitic transition,2011.0,104.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
S. Inoue; N. Sawada and T. Namazu,Vacuum,Effect of Zr content on mechanical properties of Ti–Ni–Zr shape memory alloy films prepared by dc magnetron sputtering,2009.0,59.0,6.681094,49.4,Ni49.4Ti50.6 %,50.6
S. Inoue; N. Sawada and T. Namazu,Vacuum,Effect of Zr content on mechanical properties of Ti–Ni–Zr shape memory alloy films prepared by dc magnetron sputtering,2009.0,62.0,6.681094,49.4,Ni49.4Ti50.6 %,50.6
A. Phukaoluan; A. Khantachawana; P. Kaewtathip; S. Dechkunakorn; N. Anuwongnukroh; P. Santiwong and J. Kajornchaiyakul,Applied Mechanics and Materials,Property improvement of TiNi by Cu addition for orthodontics applications,2011.0,63.0,6.733906,50.6,Ni50.6Ti49.4 %,49.4
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,28.0,6.632683,48.3,Ni48.3Ti51.7 %,51.7
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,25.0,6.632683,48.3,Ni48.3Ti51.7 %,51.7
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,32.0,6.632683,48.3,Ni48.3Ti51.7 %,51.7
H.-j. Jiang; C.-b. Ke; S.-s. Cao; X. Ma and X.-p. Zhang,Transactions of Nonferrous Metals Society of China,Phase transformation and damping behavior of lightweight porous TiNiCu alloys fabricated by powder metallurgy process,2013.0,59.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
B. Ramachandran; R. Tang; P. Chang; Y. Kuo; C. Chien and S. Wu,Journal of Applied Physics,Cu-substitution effect on thermoelectric properties of the TiNi-based shape memory alloys,2013.0,97.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
Y.-w. Kim and E. Choi,Materials ReseVARh Bulletin,Effect of Cu addition on the martensitic transformation of powder metallurgy processed Ti–Ni alloys,2014.0,66.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
Y.-w. Kim and E. Choi,Materials ReseVARh Bulletin,Effect of Cu addition on the martensitic transformation of powder metallurgy processed Ti–Ni alloys,2014.0,43.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
M. Thomasová; H. Seiner; P. Sedlák; M. Frost; M. Ševčík; I. Szurman; R. Kocich; J. Drahokoupil; P. Šittner and M. Landa,Acta Materialia,Evolution of macroscopic elastic moduli of martensitic polycrystalline NiTi and NiTiCu shape memory alloys with pseudoplastic straining,2017.0,46.0,6.729505,50.5,Ni50.5Ti49.5 %,49.5
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,70.0,6.641485,48.5,Ni48.5Ti51.5 %,51.5
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,50.0,6.641485,48.5,Ni48.5Ti51.5 %,51.5
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,38.0,6.66349,49.0,Ni49.0Ti51.0 %,51.0
P. Olier; J. C. Brachet; J. L. Bechade; C. Foucher and G. Guenin,Journal de Physique IV,Investigation of Transformation Temperatures Microstructure and Shape Memory Properties of NiTi; NiTiZr and NiTiHf Alloys,1995.0,55.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,60.0,6.645886,48.6,Ni48.6Ti51.4 %,51.4
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,65.0,6.645886,48.6,Ni48.6Ti51.4 %,51.4
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,1.0,6.720703,50.3,Ni50.3Ti49.7 %,49.7
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,18.0,6.720703,50.3,Ni50.3Ti49.7 %,49.7
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,20.0,6.720703,50.3,Ni50.3Ti49.7 %,49.7
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,55.0,6.720703,50.3,Ni50.3Ti49.7 %,49.7
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,58.0,6.720703,50.3,Ni50.3Ti49.7 %,49.7
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,52.0,6.720703,50.3,Ni50.3Ti49.7 %,49.7
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,60.0,6.720703,50.3,Ni50.3Ti49.7 %,49.7
P. Olier; J. C. Brachet; J. L. Bechade; C. Foucher and G. Guenin,Journal de Physique IV,Investigation of Transformation Temperatures Microstructure and Shape Memory Properties of NiTi; NiTiZr and NiTiHf Alloys,1995.0,50.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
P. E. Thoma; C. Zhang; J. J. Boehm and R. H. Zee,Journal de Physique IV ,The Effect of Hafnium Content and Cycling under an Applied Axial Stress on the Creep and Martensite Strain of NiTi Based Shape Memory Alloy Wires ,1997.0,98.0,6.66349,49.0,Ni49.0Ti51.0 %,51.0
Z. Pu; H. Tseng and K. Wu,International Society for Optical Engineering,Martensite transformation and shape memory effect of NiTi-Zr high-temperature shape memory alloys,1995.0,84.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
S. Kang; H.-J. Im and T.-H. Nam,Journal of the Korean Institute of Metals and Materials(South Korea),Effect of Hf-content on phase transformation behavior and microstructures of Ti-Ni-Hf shape memory alloys,1999.0,98.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
T. Umale; D. Salas; B. Tomes; R. Arroyave and I. Karaman,Scripta Materialia,The effects of wide range of compositional changes on the martensitic transformation characteristics of NiTiHf shape memory alloys,2019.0,35.0,6.698698,49.8,Ni49.8Ti50.2 %,50.2
Y. Xu; S. Shimizu; Y. Suzuki; K. Otsuka; T. Ueki; K. Mitose,Acta Materialia,Recovery and Recrystallization Processes in Ti-Pd-Ni High Temperature Shape Memory Alloys,1997.0,131.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
K.C. Atli; I. Karaman; R.D. Noebe; D. Gaydosh ,Materials Science and Engineering A,The effect of training on two-way shape memory effect of binary NiTi and NiTi based ternary high temperature shape memory alloys,2013.0,50.0,6.703099,49.9,Ni49.9Ti50.1 %,50.1
K.C. Atli; I. Karaman; R.D. Noebe; D. Gaydosh ,Materials Science and Engineering A,The effect of training on two-way shape memory effect of binary NiTi and NiTi based ternary high temperature shape memory alloys,2013.0,57.0,6.703099,49.9,Ni49.9Ti50.1 %,50.1
K.C. Atli; I. Karaman; R.D. Noebe; D. Gaydosh ,Materials Science and Engineering A,The effect of training on two-way shape memory effect of binary NiTi and NiTi based ternary high temperature shape memory alloys,2013.0,58.0,6.703099,49.9,Ni49.9Ti50.1 %,50.1
K.C. Atli; I. Karaman; R.D. Noebe; D. Gaydosh ,Materials Science and Engineering A,The effect of training on two-way shape memory effect of binary NiTi and NiTi based ternary high temperature shape memory alloys,2013.0,52.0,6.703099,49.9,Ni49.9Ti50.1 %,50.1
K.C. Atli; I. Karaman; R.D. Noebe; D. Gaydosh ,Materials Science and Engineering A,The effect of training on two-way shape memory effect of binary NiTi and NiTi based ternary high temperature shape memory alloys,2013.0,49.0,6.703099,49.9,Ni49.9Ti50.1 %,50.1
K.C. Atli; I. Karaman; R.D. Noebe; D. Gaydosh ,Materials Science and Engineering A,The effect of training on two-way shape memory effect of binary NiTi and NiTi based ternary high temperature shape memory alloys,2013.0,48.0,6.703099,49.9,Ni49.9Ti50.1 %,50.1
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,74.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
K. M. Ibrahim; N. Elbagoury and Y. Fouad,Journal of Alloys and Compounds,Microstructure and martensitic transformation of cast TiNiSi shape memory alloys,2011.0,55.0,6.66349,49.0,Ni49.0Ti51.0 %,51.0
V.V. Shastry; V.D. Divya; M.A. Azeem; A. Paul; D. Dye; U. Ramamurty,Acta Materialia,Combining indentation and diffusion couple techniques for combinatorial discovery of high temperature shape memory alloys,2013.0,77.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
A. Liu; X. Meng; W. Cai and L. C. Zhao,Materials Science Forum,Effect of Ce addition on martensitic transformation behavior of TiNi shape memory alloys,2005.0,66.0,6.7075,50.0,Ni50.0Ti50.0 %,50.0
W. Cai; A. Liu; J. Sui and L. Zhao,Materials transactions,Effects of cerium addition on martensitic transformation and microstructure of Ti49. 3Ni50. 7 alloy,2006.0,42.0,6.738307,50.7,Ni50.7Ti49.3 %,49.3
B. Winzek and E. Quandt,Zeitschrift für Metallkunde,Shape-memory Ti-Ni-X-films (X = Cu;Pd) under constraint,1999.0,78.0,6.610678,47.8,Ni47.8Ti52.2 %,52.2
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,14.0,6.75151,51.0,Ni51.0Ti49.0 %,49.0
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,14.0,6.75151,51.0,Ni51.0Ti49.0 %,49.0
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,65.0,6.75151,51.0,Ni51.0Ti49.0 %,49.0
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,46.0,6.75151,51.0,Ni51.0Ti49.0 %,49.0
A. L. Liu; N. N. Mao; J. W. Xu and W. Cai,Materials Science Forum,Investigation on Ce Addition on Microstructure and Martensitic Transformation of a Ti51Ni49 Shape Memory Alloy,2016.0,52.0,6.66349,49.0,Ni49.0Ti51.0 %,51.0
A. L. Liu; Z. Y. Gao; L. Gao; W. Cai and Y. Wu,Journal of Alloys and Compounds,Effect of Dy addition on the microstructure and martensitic transformation of a Ni-rich TiNi shape memory alloy,2007.0,42.0,6.738307,50.7,Ni50.7Ti49.3 %,49.3
