Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Fe (at.%)
X-B. Yuan; B. Chen; F-S. Liu; Q. Xu and W. Ma,Rare Metals,Transforming behaviors and superelasticity of Ti50Ni48Fe2 shape memory alloy subjected to cold-rolling and subsequent annealing,2014.0,-43.15,-43.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
S.K. Giri; M. K and U. Ramamurty,Materials Science and Engineering:A,Enhancement of fatigue life of Ni–Ti–Fe shape memory alloys by thermal cycling,2010.0,-28.0,-43.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
J. Wang; F. Liu and J. Cao,Materials Science and Engineering: A,The microstructure and thermomechanical behavior of Ti 50 Ni 47 Fe 2.5 Nd 0.5 shape memory alloys,2010.0,-88.0,-44.0,47.5,Ni47.5Ti50.0Fe2.5 %,50.0,2.5
C.M. Hwang and C.M. Wayman,Scripta metallurgica,Compositional dependence of transformation temperatures in ternary TiNiAl and TiNiFe alloys,1983.0,-100.0,-91.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-97.0,-90.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-97.0,-90.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-97.0,-90.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
K.R. Edmonds and C.M. Hwang,Scripta metallurgica,Phase transformations in ternary TiNiX alloys,1986.0,-96.0,-90.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
T. Saburi; K. Doi and S. Nenno,Materials Science Forum,Self-Accomodation of R-Phase in Ti-Ni-Fe and T-Ni-Al Alloys,1990.0,12.85,23.85,48.2,Ni48.2Ti50.3Fe1.5 %,50.3,1.5
J. Zhang; X. Ren; K. Otsuka; K. Tanaka; Y.I. Chumlyakov and M. Asai,Materials Transactions; JIM,Elastic constants of Ti-48 at% Ni-2 at %Fe single crystal prior B2→ R transformation,1999.0,-77.65,-63.15,48.11,Ni48.11Ti50.0Fe1.89 %,50.0,1.89
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,-26.32,28.28,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,-6.9,8.33,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,-94.98,-28.66,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,-102.93,-43.73,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,-107.76,-22.65,47.5,Ni47.5Ti50.0Fe2.5 %,50.0,2.5
J.J Wang; T. Omori; Y. Sutou; R. Kainuma and K. Ishida,Scripta Materialia,Two-way shape memory effect induced by cold-rolling in Ti-Ni and Ti-Ni-Fe alloys,2005.0,-69.39800407,-27.71154716,47.5,Ni47.5Ti50.0Fe2.5 %,50.0,2.5
S.K. Wu; H.C. Lin and T.Y. Lin,Materials Science and Engineering:A,Electrical resistivity of Ti–Ni binary and Ti–Ni–X (X=Fe; Cu) ternary shape memory alloys,2006.0,-75.60385391,10.22068507,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
S.K. Wu; H.C. Lin and T.Y. Lin,Materials Science and Engineering:A,Electrical resistivity of Ti–Ni binary and Ti–Ni–X (X=Fe; Cu) ternary shape memory alloys,2006.0,-63.79730089,-27.43732135,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
S.K. Wu; H.C. Lin and T.Y. Lin,Materials Science and Engineering:A,Electrical resistivity of Ti–Ni binary and Ti–Ni–X (X=Fe; Cu) ternary shape memory alloys,2006.0,-50.63314093,-24.5611226,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
H. Sitepu,Powder Diffraction ,Structural refinement of neutron powder diffraction data of two-stage martensitic phase transformations in Ti 50.75 Ni 47.75 Fe 1.50 shape memory alloy,2007.0,17.08834727,40.399242,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
J. Frenzel; J. Pfetzing; K. Neuking and G. Eggeler,Materials Science and Engineering:A,On the influence of thermomechanical treatments on the microstructure and phase transformation behavior of Ni-Ti-Fe shape memory alloy,2008.0,-43.88988662,-39.53958393,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
J. Frenzel; J. Pfetzing; K. Neuking and G. Eggeler,Materials Science and Engineering:A,On the influence of thermomechanical treatments on the microstructure and phase transformation behavior of Ni-Ti-Fe shape memory alloy,2008.0,-36.7878717,-59.24791596,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
J. Frenzel; J. Pfetzing; K. Neuking and G. Eggeler,Materials Science and Engineering:A,On the influence of thermomechanical treatments on the microstructure and phase transformation behavior of Ni-Ti-Fe shape memory alloy,2008.0,-48.68236473,-28.99699457,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,23.85,50.85,48.5,Ni48.5Ti50.5Fe1.0 %,50.5,1.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,10.85,50.5,Ni50.5Ti48.5Fe1.0 %,48.5,1.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-27.15,52.0,Ni52.0Ti46.0Fe2.0 %,46.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-68.15,55.4,Ni55.4Ti42.6Fe2.0 %,42.6,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-27.15,10.85,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-18.15,50.0,Ni50.0Ti48.0Fe2.0 %,48.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-139.15,-47.15,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-74.15,-0.15,47.5,Ni47.5Ti49.5Fe3.0 %,49.5,3.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-59.15,49.5,Ni49.5Ti47.5Fe3.0 %,47.5,3.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-28.15,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-76.15,49.0,Ni49.0Ti47.0Fe4.0 %,47.0,4.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-100.15,49.0,Ni49.0Ti47.0Fe4.0 %,47.0,4.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-153.15,-74.15,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,-11.15,18.85,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,-14.54315337,17.53415391,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,-18.66916324,15.45964712,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,-22.35290588,13.9503531,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,-25.16995221,10.11425813,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,-28.53664237,5.746241003,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
B.D. Ingale; W.C. Wei; P.C. Chang; Y.K. Kuo and S.K. Wu,Journal of Applied Physics,Anomalous transport and thermal properties of NiTi and with Cu and Fe-doped shape memory alloys near the martensitic transition,2011.0,-37.53341751,3.305527497,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
T. Nagase; A. Sasaki; H. Y. Yasuda; H. Mori; T. Terai and T. Kakeshita,Intermetallics,Stability of B2 phase in Ti–Ni–Fe alloys against MeV electron-irradiation-induced solid-state amorphization and martensite transformation,2011.0,-113.5251515,-70.0883165,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
M. Todai. A. Higaki; T. Fukuda and T. Kakeshita,Philosophical Magazine Letters,Martensitic transformation from incommensurate state with nano-scale domain structure in a Ti–42Ni–8Fe (at.%) alloy under a compressive stress,2011.0,-158.8610171,-175.9363983,42.0,Ni42.0Ti50.0Fe8.0 %,50.0,8.0
S. Kustov; D. Salas; E. Cesari; R. Santamarta and J. Van Humbeeck,Acta Materialia,Isothermal and athermal martensitic transformations in Ni–Ti shape memory alloys,2012.0,-91.75283688,-77.88758865,47.4,Ni47.4Ti50.0Fe2.6 %,50.0,2.6
H. Sen; Y. Wang; J. Zhang; D. Wang; S. Ren and X. Ren,EPL (Europhysics Letters),Evidence for crossover martensite in Ti50Ni45Fe5: An intermediate state between normal martensite and strain glass,2012.0,-11.79455894,-31.81243034,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
H. Sen; Y. Wang; J. Zhang; D. Wang; S. Ren and X. Ren,EPL (Europhysics Letters),Evidence for crossover martensite in Ti50Ni45Fe5: An intermediate state between normal martensite and strain glass,2012.0,-58.0,-89.99891187,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
S. Xue; W. Wang; D. Wu; Q. Zhai and H. Zheng,Materials Letters,On the explanation for the time-dependence of B2 to R martensitic transformation in Ti50Ni47Fe3 shape memory alloy,2012.0,-27.98506978,-31.90726236,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
S. Xue; W. Wang; D. Wu; Q. Zhai and H. Zheng,Materials Letters,On the explanation for the time-dependence of B2 to R martensitic transformation in Ti50Ni47Fe3 shape memory alloy,2012.0,-26.2510453,-34.29982578,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B.C. Maji; M. Krishnan and I. Samajdar,Metallurgical and Materials Transactions A,Microstructural Developments Through Marforming in a Ni-Ti-Fe Shape Memory Alloy,2013.0,-11.97346414,-24.69307899,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B.C. Maji; M. Krishnan and I. Samajdar,Metallurgical and Materials Transactions A,Microstructural Developments Through Marforming in a Ni-Ti-Fe Shape Memory Alloy,2013.0,-10.97018084,-19.69998759,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
M. Matsuda; R. Yamashita; S. Tsurekawa; K. Takashima; M. Mitsuhara and M. Nishida,Journal of Alloys and Compounds,Antiphase boundary-like structure of B19′ martensite via R-phase transformation in Ti–Ni–Fe alloy,2014.0,-4.15,7.85,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
C-Y. Nien; H-K. Wang; C-H. Chen; S. Li; S-K Wu and C-H Hsueh,Journals of Materials Research: Cambridge University Press,Superelasticity of TiNi-based shape memory alloys at micro/nanoscale,2014.0,-23.66467094,-9.7,49.71,Ni49.71Ti49.49Fe0.8 %,49.49,0.8
Y. Zhang and F-S. Liu,Materials Science Forum: Trans Tech Publications Ltd,Effects of mechanical treatment and pre-deformation on shape recovery stress of Ti50Ni47Fe3 shape memory alloy,2014.0,-149.0,-37.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Zhang and F-S. Liu,Materials Science Forum: Trans Tech Publications Ltd,Effects of mechanical treatment and pre-deformation on shape recovery stress of Ti50Ni47Fe3 shape memory alloy,2014.0,-53.0,24.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Zhang and F-S. Liu,Materials Science Forum: Trans Tech Publications Ltd,Effects of mechanical treatment and pre-deformation on shape recovery stress of Ti50Ni47Fe3 shape memory alloy,2014.0,-139.0,-14.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-29.36155601,-40.77308042,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-29.59442203,-39.1911658,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-27.70070311,-39.61930832,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-30.28600865,-44.15445338,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-26.72287199,-41.71402037,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-26.27088702,-45.76905304,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M. Eskandari; L. Upadhayay; M.A. Mohtadi-Bonab and J.A. Szpunar,Journal of Alloys and Compounds,A systematic investigation on the role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys,2015.0,-21.5,-22.84,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M. Eskandari; L. Upadhayay; M.A. Mohtadi-Bonab and J.A. Szpunar,Journal of Alloys and Compounds,A systematic investigation on the role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys,2015.0,-21.3,-21.8,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M. Eskandari; L. Upadhayay; M.A. Mohtadi-Bonab and J.A. Szpunar,Journal of Alloys and Compounds,A systematic investigation on the role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys,2015.0,-21.85,-20.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-21.27648077,-22.34868657,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-22.95350496,-22.88247134,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-21.20572877,-23.04814026,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-21.17482316,-23.12373802,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-21.84290658,-23.26895032,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-21.70574395,-23.5327671,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-21.42253863,-23.04602094,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-21.08178755,-22.28323313,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
C-H. Chen and S-K. Wu,Materials Characterization,Observations of self-accomodated R-phase morphologies in a Ti50.3Ni48.2Fe1.5 shape memory alloy,2015.0,8.49416117,26.7,48.2,Ni48.2Ti50.3Fe1.5 %,50.3,1.5
S-H. Chang; C. Chien and S-K. Wu,Materials Transactions,Damping characteristics of the inherent and intrinsic internal friction of Ti50Ni50-xFex  (x= 2; 3; and 4) shape memory alloys,2016.0,-47.7,6.543141434,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
S-H. Chang; C. Chien and S-K. Wu,Materials Transactions,Damping characteristics of the inherent and intrinsic internal friction of Ti50Ni50-xFex  (x= 2; 3; and 4) shape memory alloys,2016.0,-102.0,-16.6,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
S-H. Chang; C. Chien and S-K. Wu,Materials Transactions,Damping characteristics of the inherent and intrinsic internal friction of Ti50Ni50-xFex  (x= 2; 3; and 4) shape memory alloys,2016.0,-29.9,-52.3,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
T. Fukuda; G. Yamasaki; H. Yoshinobu and T. Kakeshita,Materials Transactions,Mechanical Properties of the R-Phase and the Commensurate Phase under [111] Tensile Stress in Iron-Doped Titanium-Nickel Alloys,2016.0,-20.36316043,-18.5105506,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
T. Fukuda; G. Yamasaki; H. Yoshinobu and T. Kakeshita,Materials Transactions,Mechanical Properties of the R-Phase and the Commensurate Phase under [111] Tensile Stress in Iron-Doped Titanium-Nickel Alloys,2016.0,-21.68487241,-19.98112594,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
T. Fukuda; G. Yamasaki; H. Yoshinobu and T. Kakeshita,Materials Transactions,Mechanical Properties of the R-Phase and the Commensurate Phase under [111] Tensile Stress in Iron-Doped Titanium-Nickel Alloys,2016.0,-27.15,-32.17423329,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,76.93693694,29.21037241,49.0,Ni49.0Ti50.0Fe1.0 %,50.0,1.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,-23.96396396,-61.71734639,49.0,Ni49.0Ti50.0Fe1.0 %,50.0,1.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,-61.8018018,-64.47328007,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,29.72972973,22.34283815,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,-69.00900901,-73.51695004,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
K. Sapozhnikov; J. Torrens-Serra; E. Cesari; J. Van Humbeeck and S. Kustov,Metals,Effect of Hydrogen on the Elastic and Anelastic Properties of the R Phase in Ti50Ni46.1Fe3.9 Alloy,2017.0,-34.75,-31.73285714,46.1,Ni46.1Ti50.0Fe3.9 %,50.0,3.9
Y-Q. Zhang; S-Y. Jiang; X-M. Zhu; Y-N. Zhao; Y-L. Liang and D. Sun,Transactions of Nonferrous Metals Society of China,Influence of Fe addition on phase transformation behavior of NiTi shape memory alloy,2017.0,-12.38278887,-14.42453116,45.0,Ni45.0Ti51.8Fe3.2 %,51.8,3.2
Y. Liang; S. Jiang; Y. Zhang and C. Zhao,Journal of Materials Engineering and Performance,Effect of Plane Strain Compression and Subsequent Recrystallization Annealing on Microstructures and Phase Transformation of NiTiFe Shape Memory Alloy,2018.0,-11.7,-27.9,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Liang; S. Jiang; Y. Zhang and C. Zhao,Journal of Materials Engineering and Performance,Effect of Plane Strain Compression and Subsequent Recrystallization Annealing on Microstructures and Phase Transformation of NiTiFe Shape Memory Alloy,2018.0,-26.2,-28.4,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
