Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Au (at.%)
,,,2022.0,-9.8678,7.0745,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,-2.4753,13.585,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,-14.139,-6.0463,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,-15.97,-6.7094,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,-15.97,-6.6025,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,-15.094,-6.2523,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,-14.813,-4.776,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,149.58,121.93,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,165.79,120.91,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,132.65,118.81,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,178.61,118.21,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,187.69,115.35,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,118.45,111.05,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,107.05,98.65,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,79.5,106.6,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,78.4,107.9,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,78.4,107.0,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,78.4,107.5,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,78.4,107.3,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,88.119,71.194,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,111.26,71.399,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,66.672,64.102,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,133.95,64.95,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,142.4,58.394,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,45.433,47.386,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,30.296,26.68,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,27.798,26.391,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,22.9,32.9,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,23.6,33.0,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,21.8,33.0,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,23.9,32.5,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,21.4,30.3,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,141.07,100.53,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,118.15,95.142,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,161.08,95.146,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,172.63,94.18,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,101.11,87.785,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,81.447,74.512,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,69.469,61.825,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,32.0,67.8,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,30.3,69.5,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,31.2,69.0,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,29.4,67.0,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,29.4,69.0,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,119.31,72.135,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,143.17,68.169,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,95.429,68.883,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,161.82,61.662,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,96.837,70.464,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,120.38,69.771,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,72.932,61.157,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,75.411,64.358,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,143.19,65.414,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,51.492,50.245,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,153.79,60.729,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,49.632,47.451,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,49.185,30.98,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,33.73,30.698,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,9.7,36.5,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,7.4,34.4,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,7.8,36.7,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,7.3,36.4,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,7.9,36.6,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2026.0,170.61,125.66,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2025.0,150.48,121.65,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2027.0,189.65,123.76,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2024.0,130.78,114.77,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2028.0,201.95,119.24,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2023.0,111.41,103.33,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,97.138,91.113,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,30.0,99.1,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,28.3,99.8,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,29.9,99.2,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,30.0,97.5,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,29.5,98.9,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,145.47,85.026,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,122.9,80.424,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,98.43,72.852,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,168.39,83.627,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,170.61,80.603,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,165.27,75.21,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,73.011,61.501,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,177.53,70.881,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,164.76,72.31,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,48.473,46.37,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,-18.8,27.6,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,-19.0,30.4,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,-22.2,30.4,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,-19.7,31.3,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,-21.1,30.4,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
