Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Cu (at.%),composition,Al (at.%),Mn (at.%)
Dutkiewicz; Morgiel; Czeppe; Cesari,,Martensitic Transformation in CuAlMn and CuAlNi Melt Spun Ribbons,1997.0,111.0,92.0,75.6,Cu75.6Al21.4Mn3.0 %,21.4,3.0
Dutkiewicz; Morgiel; Czeppe; Cesari,,Martensitic Transformation in CuAlMn and CuAlNi Melt Spun Ribbons,1997.0,112.0,114.0,75.6,Cu75.6Al21.4Mn3.0 %,21.4,3.0
Dutkiewicz; Morgiel; Czeppe; Cesari,,Martensitic Transformation in CuAlMn and CuAlNi Melt Spun Ribbons,1997.0,165.0,154.0,72.7,Cu72.7Al23.3Mn4.0 %,23.3,4.0
Dutkiewicz; Morgiel; Czeppe; Cesari,,Martensitic Transformation in CuAlMn and CuAlNi Melt Spun Ribbons,1997.0,178.0,162.0,72.7,Cu72.7Al23.3Mn4.0 %,23.3,4.0
Dutkiewicz; Morgiel; Czeppe; Cesari,,Martensitic Transformation in CuAlMn and CuAlNi Melt Spun Ribbons,1997.0,107.0,79.0,74.2,Cu74.2Al21.6Mn4.2 %,21.6,4.2
Dutkiewicz; Morgiel; Czeppe; Cesari,,Martensitic Transformation in CuAlMn and CuAlNi Melt Spun Ribbons,1997.0,118.0,95.0,74.2,Cu74.2Al21.6Mn4.2 %,21.6,4.2
Gong; Li; Xiao; Zheng,,Microstructure and property of the composite laminate cladded by explosive welding of CuAlMn shape memory alloy and QBe2 alloy,2009.0,210.0,220.0,73.0,Cu73.0Al24.0Mn3.0 %,24.0,3.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,63.0,65.0,72.2,Cu72.2Al25.1Mn2.7 %,25.1,2.7
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-17.0,-13.0,71.2,Cu71.2Al25.8Mn3.0 %,25.8,3.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-5.0,3.0,71.4,Cu71.4Al25.6Mn3.0 %,25.6,3.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,40.0,41.0,71.9,Cu71.9Al25.1Mn3.0 %,25.1,3.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,34.0,38.0,71.9,Cu71.9Al25.1Mn3.0 %,25.1,3.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,40.0,41.0,71.9,Cu71.9Al25.1Mn3.0 %,25.1,3.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-5.0,10.0,71.3,Cu71.3Al25.6Mn3.1 %,25.6,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,17.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,14.0,22.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,10.0,18.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,17.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,18.0,5.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,13.0,10.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,11.0,7.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,9.0,11.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,12.0,11.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,11.0,13.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,13.0,12.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,10.0,12.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,13.0,13.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,12.0,13.0,71.5,Cu71.5Al25.4Mn3.1 %,25.4,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,20.0,20.0,71.7,Cu71.7Al25.2Mn3.1 %,25.2,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,30.0,28.0,71.7,Cu71.7Al25.2Mn3.1 %,25.2,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,17.0,28.0,71.7,Cu71.7Al25.2Mn3.1 %,25.2,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,33.0,42.0,71.8,Cu71.8Al25.1Mn3.1 %,25.1,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,31.0,39.0,71.8,Cu71.8Al25.1Mn3.1 %,25.1,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,33.0,42.0,71.8,Cu71.8Al25.1Mn3.1 %,25.1,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,57.0,58.0,72.0,Cu72.0Al24.9Mn3.1 %,24.9,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,50.0,50.0,72.0,Cu72.0Al24.9Mn3.1 %,24.9,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,51.0,49.0,72.0,Cu72.0Al24.9Mn3.1 %,24.9,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,54.0,56.0,72.0,Cu72.0Al24.9Mn3.1 %,24.9,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,79.0,85.0,72.4,Cu72.4Al24.5Mn3.1 %,24.5,3.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,24.0,26.0,71.6,Cu71.6Al25.2Mn3.2 %,25.2,3.2
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,26.0,30.0,71.6,Cu71.6Al25.2Mn3.2 %,25.2,3.2
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,38.0,38.0,71.9,Cu71.9Al24.5Mn3.6 %,24.5,3.6
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-48.0,-46.0,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,55.0,39.0,71.7,Cu71.7Al23.6Mn4.7 %,23.6,4.7
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-23.0,-8.0,70.3,Cu70.3Al24.8Mn4.9 %,24.8,4.9
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,10.0,3.0,70.3,Cu70.3Al24.8Mn4.9 %,24.8,4.9
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-23.0,-8.0,70.3,Cu70.3Al24.8Mn4.9 %,24.8,4.9
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-6.0,23.0,71.1,Cu71.1Al24.0Mn4.9 %,24.0,4.9
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-10.0,22.0,71.1,Cu71.1Al24.0Mn4.9 %,24.0,4.9
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-53.0,-26.0,70.5,Cu70.5Al24.5Mn5.0 %,24.5,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-23.0,-6.0,70.8,Cu70.8Al24.2Mn5.0 %,24.2,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,-15.0,12.0,71.0,Cu71.0Al24.0Mn5.0 %,24.0,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,27.0,33.0,71.4,Cu71.4Al23.6Mn5.0 %,23.6,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,27.0,32.0,71.4,Cu71.4Al23.6Mn5.0 %,23.6,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,27.0,32.0,71.4,Cu71.4Al23.6Mn5.0 %,23.6,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,51.0,39.0,71.7,Cu71.7Al23.3Mn5.0 %,23.3,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,45.0,34.0,71.7,Cu71.7Al23.3Mn5.0 %,23.3,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,41.0,37.0,71.7,Cu71.7Al23.3Mn5.0 %,23.3,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,41.0,37.0,71.7,Cu71.7Al23.3Mn5.0 %,23.3,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,71.0,53.0,72.1,Cu72.1Al22.9Mn5.0 %,22.9,5.0
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,12.0,26.0,71.1,Cu71.1Al23.8Mn5.1 %,23.8,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,5.0,31.0,71.1,Cu71.1Al23.8Mn5.1 %,23.8,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,5.0,31.0,71.1,Cu71.1Al23.8Mn5.1 %,23.8,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,22.0,24.0,71.3,Cu71.3Al23.6Mn5.1 %,23.6,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,21.0,25.0,71.3,Cu71.3Al23.6Mn5.1 %,23.6,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,14.0,26.0,71.3,Cu71.3Al23.6Mn5.1 %,23.6,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,18.0,35.0,71.3,Cu71.3Al23.6Mn5.1 %,23.6,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,14.0,26.0,71.3,Cu71.3Al23.6Mn5.1 %,23.6,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,18.0,35.0,71.3,Cu71.3Al23.6Mn5.1 %,23.6,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,28.0,26.0,71.5,Cu71.5Al23.4Mn5.1 %,23.4,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,41.0,30.0,71.6,Cu71.6Al23.3Mn5.1 %,23.3,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,35.0,29.0,71.6,Cu71.6Al23.3Mn5.1 %,23.3,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,64.0,31.0,71.8,Cu71.8Al23.1Mn5.1 %,23.1,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,58.0,35.0,71.8,Cu71.8Al23.1Mn5.1 %,23.1,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,69.0,50.0,72.0,Cu72.0Al22.9Mn5.1 %,22.9,5.1
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,29.0,52.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,14.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,13.0,3.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,8.0,8.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,13.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,14.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,4.0,12.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,13.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,8.0,14.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,11.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,9.0,13.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,10.0,12.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,13.0,3.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,6.0,12.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,10.0,12.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,11.0,26.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,8.0,25.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,10.0,17.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,8.0,40.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,13.0,35.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,15.0,17.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,20.0,32.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,13.0,3.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,8.0,8.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,13.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,14.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,4.0,12.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,13.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,8.0,14.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,7.0,11.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,9.0,13.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,10.0,12.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,20.0,37.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
Hamburg,,Martensitisch umwandelnde Cu-Al-Mn-Legierungen mit gezielt eingestellter; hoher Dämpfung für isotherme Anwendungen,2007.0,22.0,22.0,71.1,Cu71.1Al23.6Mn5.3 %,23.6,5.3
