Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Cu (at.%)
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,72.0,75.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,72.0,74.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,72.0,59.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
T.-H. Nam and Y.-W. Kim,Intermetallics,Shape memory characteristics of rapidly solidified Ti50Ni15Cu35 alloy ribbons,2010.0,72.0,64.0,15.0,Ni15.0Ti50.0Cu35.0 %,50.0,35.0
M. Valeanu; M. Lucaci; A. D. Crisan; M. Sofronie; L. Leonat and V. Kuncser,Journal of Alloys and Compounds,Martensitic transformation of Ti50Ni30Cu20 alloy prepared by powder metallurgy,2011.0,72.0,48.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,72.0,78.0,33.1,Ni33.1Ti51.5Cu15.4 %,51.5,15.4
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,72.0,81.0,47.5,Ni47.5Ti50.0Cu2.5 %,50.0,2.5
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,72.0,67.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
S. M. Tan; V. H. No and S. Miyazaki,Acta Materialia,Ti-content and annealing temperature dependence of deformation characteristics of TiXNi(92−X)Cu8 shape memory alloys,1998.0,71.0,76.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
T. Goryczka and J. Van Humbeeck,Journal of Achievements in Materials and Manufacturing Engineering,Characterization of a NiTiCu shape memory alloy produced by powder technology,2006.0,71.0,57.0,47.0,Ni47.0Ti50.0Cu3.0 %,50.0,3.0
E. López Cuellar; G. Guénin and M. Morin,Materials Science Forum,Strain-resistivity behavior of a Ti-45Ni-5Cu shape memory alloy during superelastic and SATWME cycling,2006.0,71.0,86.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
A. Terayama and H. Kyogoku,Materials Science and Engineering: A,Shape memory characteristics of the P/M-processed Ti–Ni–Cu alloys,2010.0,71.0,60.0,30.2,Ni30.2Ti49.8Cu20.0 %,49.8,20.0
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,70.0,74.0,37.0,Ni37.0Ti53.5Cu9.5 %,53.5,9.5
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,70.0,77.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
N. Matveeva; V. Pushin; A. Shelyakov; Y. A. Bykovskii; S. Volkova and V. Kraposhin,Physics of Metals and Metallography,Effect of the conditions of crystallization of amorphous TiNi-TiCu alloys on their structure and shape memory,1997.0,70.0,67.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,70.0,76.0,26.6,Ni26.6Ti55.4Cu18.0 %,55.4,18.0
C. J. d. Araújo; C. H. Gonzalez; M. Morin and G. Guénin,Materials ReseVARh,Influence of the mechanical loading history on the stress assisted two way memory effect in a Ti-Ni-Cu alloy,2001.0,70.0,88.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
T. Goryczka and J. Van Humbeeck,Journal of Achievements in Materials and Manufacturing Engineering,Characterization of a NiTiCu shape memory alloy produced by powder technology,2006.0,70.0,-41.0,47.0,Ni47.0Ti50.0Cu3.0 %,50.0,3.0
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,70.0,73.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,70.0,64.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,70.0,68.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
S.-w. Kang; Y.-M. Lim; Y.-h. Lee; H.-j. Moon; Y.-w. Kim and T.-h. Nam,Scripta Materialia,Microstructures and shape memory characteristics of a Ti–20Ni–30Cu (at.%) alloy strip fabricated by the melt overflow process,2010.0,70.0,65.0,20.0,Ni20.0Ti50.0Cu30.0 %,50.0,30.0
Y. Tong and Y. Liu,Materials Chemistry and Physics,Effect of precipitation on two-way shape memory effect of Melt Spun Ti50Ni25Cu25 ribbon,2010.0,70.0,66.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
T. Goryczka,Shape Memory Alloys-Processing; Characterization and Applications,Ni25Ti50Cu25 shape memory alloy produced by nonconventional techniques,2013.0,70.0,71.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
J. Rak; T. Goryczka and P. Ochin,Acta Physica Polonica A,Martensite Reorientation after Thermal Cycling in NiTiCu Shape Memory Alloys Studied by EBSD Technique,2016.0,70.0,69.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
J. Rak; T. Goryczka and P. Ochin,Acta Physica Polonica A,Martensite Reorientation after Thermal Cycling in NiTiCu Shape Memory Alloys Studied by EBSD Technique,2016.0,70.0,69.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
J. Rak; T. Goryczka and P. Ochin,Acta Physica Polonica A,Martensite Reorientation after Thermal Cycling in NiTiCu Shape Memory Alloys Studied by EBSD Technique,2016.0,70.0,69.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
J. Rak; T. Goryczka and P. Ochin,Acta Physica Polonica A,Martensite Reorientation after Thermal Cycling in NiTiCu Shape Memory Alloys Studied by EBSD Technique,2016.0,70.0,69.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
J. Rak; T. Goryczka and P. Ochin,Acta Physica Polonica A,Martensite Reorientation after Thermal Cycling in NiTiCu Shape Memory Alloys Studied by EBSD Technique,2016.0,70.0,70.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
S. Miyazaki; T. Hashinaga and A. Ishida,Thin Solid Films,Martensitic transformations in sputter-deposited Ti−Ni−Cu shape memory alloy thin films,1996.0,69.0,77.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
T. Matsunaga; S. Kajiwara; K. Ogawa; T. Kikuchi and S. Miyazaki,Acta Materialia,Internal structures and shape memory properties of sputter-deposited thin films of a Ti–Ni–Cu alloy,2001.0,69.0,77.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
Y.-W. Kim; S.-H. Lee and T.-H. Nam,Physica Scripta,Microstructure modifications of Ti–Ni–Cu shape memory alloy strips fabricated by VAR melt overflow process,2007.0,69.0,54.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,69.0,73.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,69.0,76.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,69.0,59.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,69.0,69.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
S.-w. Kang; Y.-M. Lim; Y.-h. Lee; H.-j. Moon; Y.-w. Kim and T.-h. Nam,Scripta Materialia,Microstructures and shape memory characteristics of a Ti–20Ni–30Cu (at.%) alloy strip fabricated by the melt overflow process,2010.0,69.0,67.0,20.0,Ni20.0Ti50.0Cu30.0 %,50.0,30.0
A. Terayama and H. Kyogoku,Materials Science and Engineering: A,Shape memory characteristics of the P/M-processed Ti–Ni–Cu alloys,2010.0,69.0,58.0,30.2,Ni30.2Ti49.8Cu20.0 %,49.8,20.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,69.0,73.0,44.75,Ni44.75Ti50.25Cu5.0 %,50.25,5.0
G. C. Wang; K. P. Hu; Y. X. Tong; B. Tian; F. Chen; L. Li; Y. F. Zheng and Z. Y. Gao,Intermetallics,Influence of Nb content on martensitic transformation and mechanical properties of TiNiCuNb shape memory alloys,2016.0,69.0,67.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,68.0,77.0,26.6,Ni26.6Ti55.4Cu18.0 %,55.4,18.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,68.0,116.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,68.0,115.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,68.0,115.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
Z. Xie; J. Van Humbeeck; Y. Liu and L. Delaey,Scripta Materialia,TEM study of Ti50Ni25Cu25 melt spun ribbons,1997.0,68.0,65.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
V. Saravanan; A. Khantachawana and S. Miyazaki,Materials Transactions,Texture analysis and properties of rapidly solidified Ti52Ni38Cu10 shape memory alloy,2004.0,68.0,71.0,38.0,Ni38.0Ti52.0Cu10.0 %,52.0,10.0
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,68.0,69.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,68.0,71.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,68.0,54.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,68.0,65.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
M. Tomozawa; H. Y. Kim and S. Miyazaki,Acta Materialia,Shape memory behavior and internal structure of Ti–Ni–Cu shape memory alloy thin films and their application for microactuators,2009.0,68.0,81.0,38.3,Ni38.3Ti52.4Cu9.3 %,52.4,9.3
Z. Y. Gao; M. Sato and A. Ishida,Journal of Alloys and Compounds,Formation of B19′ martensite in annealed Ti44.6Ni40.1Cu15.3 thin films and their shape recovery characteristic,2010.0,68.0,62.0,40.1,Ni40.1Ti44.6Cu15.3 %,44.6,15.3
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,68.0,62.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
O. Mercier and K. N. Melton,Metallurgical Transactions A,The substitution of Cu for Ni in NiTi shape memory alloys,1979.0,67.0,84.0,20.4,Ni20.4Ti52.2Cu27.4 %,52.2,27.4
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,67.0,80.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
N. Matveeva; V. Pushin; A. Shelyakov; Y. A. Bykovskii; S. Volkova and V. Kraposhin,Physics of Metals and Metallography,Effect of the conditions of crystallization of amorphous TiNi-TiCu alloys on their structure and shape memory,1997.0,67.0,60.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
B. Gabry; C. Lexcellent; V. H. No and S. Miyazaki,Thin Solid Films,Thermodynamic modeling of the recovery strains of sputter-deposited shape memory alloys Ti–Ni and Ti–Ni–Cu thin films,2000.0,67.0,85.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
Y. Liu,Materials Science and Engineering: A,Mechanical and thermomechanical properties of a Ti50Ni25Cu25 melt spun ribbon,2003.0,67.0,62.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,67.0,72.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,67.0,74.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,67.0,70.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,67.0,71.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
S. Belyaev; N. Resnina and V. Slesarenko,Smart Materials and Structures,Mechanical and functional properties of amorphous–crystalline thin ribbons of Ti 50 Ni 25 Cu 25 and Ti 40.7 Hf 9.5 Ni 44.8 Cu 5 shape memory alloys,2011.0,67.0,67.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Q. Fu; W. M. Huang and H. J. Du,Thin Solid Films,Stress induced texture and shape memory trench in TiNiCu films,2011.0,67.0,63.0,45.6,Ni45.6Ti50.2Cu4.2 %,50.2,4.2
T. Goryczka,Shape Memory Alloys-Processing; Characterization and Applications,Ni25Ti50Cu25 shape memory alloy produced by nonconventional techniques,2013.0,67.0,69.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida; M. Sato and Z. Y. Gao,Journal of Alloys and Compounds,Properties and applications of TiNiCu shape-memory-alloy thin films,2013.0,67.0,63.0,33.1,Ni33.1Ti51.5Cu15.4 %,51.5,15.4
O. Mercier; E. Torok and B. Tirbonod,International Conference on Martensitic Transformations,Internal friction peaks associated with the martensitic phase transformation of NiTi and NiTiCu alloys,1979.0,66.0,62.0,35.7,Ni35.7Ti51.6Cu12.7 %,51.6,12.7
S. M. Tan; V. H. No and S. Miyazaki,Acta Materialia,Ti-content and annealing temperature dependence of deformation characteristics of TiXNi(92−X)Cu8 shape memory alloys,1998.0,66.0,78.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
S. Miyazaki and A. Ishida,Materials Science and Engineering: A,Martensitic transformation and shape memory behavior in sputter-deposited TiNi-base thin films,1999.0,66.0,75.0,26.6,Ni26.6Ti55.4Cu18.0 %,55.4,18.0
H. Rösner; A. V. Shelyakov; A. M. Glezer; K. Feit and P. Schloßmacher,Materials Science and Engineering: A,A study of an amorphous-crystalline structured Ti–25Ni–25Cu (at.%) shape memory alloy,1999.0,66.0,62.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,66.0,64.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
C. J. d. Araújo; C. H. Gonzalez; M. Morin and G. Guénin,Materials ReseVARh,Influence of the mechanical loading history on the stress assisted two way memory effect in a Ti-Ni-Cu alloy,2001.0,66.0,86.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
G. P. Cheng and Z. L. Xie,Journal of Alloys and Compounds,Some results on shape memory properties of Ti50Ni25Cu25 Melt Spun ribbons,2005.0,66.0,60.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
G.-b. Cho; C.-a. Yu; J.-h. Lee; Y.-w. Kim and T.-h. Nam,Scripta Materialia,Lattice deformation and shape memory characteristics of Ti–30Ni–20Cu(at.%) alloy ribbons,2006.0,66.0,69.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
M. Cai; S. C. Langford; M. Wu; W. Huang; G. Xiong; T. C. Droubay; A. G. Joly; K. M. Beck; W. P. Hess and J. T. Dickinson,Advanced Functional Materials,Study of Martensitic Phase Transformation in a NiTiCu Thin‐Film Shape‐Memory Alloy Using Photoelectron Emission Microscopy,2007.0,66.0,60.0,47.0,Ni47.0Ti52.0Cu1.0 %,52.0,1.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,66.0,71.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,66.0,69.0,23.9,Ni23.9Ti48.3Cu27.8 %,48.3,27.8
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,66.0,67.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,66.0,70.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
K. Hori; T. Namazu and S. Inoue,Thin Solid Films,Effect of Cu content on the shape memory behavior of Ti–Ni–Cu alloy thin films prepared by triple-source dc magnetron sputtering,2010.0,66.0,53.0,41.8,Ni41.8Ti52.1Cu6.1 %,52.1,6.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,66.0,45.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. V. Shelyakov; N. N. Sitnikov; A. P. Menushenkov; V. V. Koledov and A. I. Irjak,Thin Solid Films,Nanostructured thin ribbons of a shape memory TiNiCu alloy,2011.0,66.0,69.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. V. Shelyakov; N. N. Sitnikov; A. P. Menushenkov; V. V. Koledov and A. I. Irjak,Thin Solid Films,Nanostructured thin ribbons of a shape memory TiNiCu alloy,2011.0,66.0,61.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
N. G. Jones and D. Dye,Intermetallics,Influence of applied stress on the transformation behaviour and martensite evolution of a Ti–Ni–Cu shape memory alloy,2013.0,66.0,67.0,41.0,Ni41.0Ti50.0Cu9.0 %,50.0,9.0
Y. Furuya; M. Matsumoto; H. S. Kimura and T. Masumoto,Materials Science and Engineering: A,Thermoelastic phase transformation of Melt Spun Ti50Ni50−xCux (x = 0–20 at.%) ribbons,1991.0,65.0,67.0,33.0,Ni33.0Ti50.0Cu17.0 %,50.0,17.0
Y. Shugo; T. Shimizu; K. Morii; T. Yamada and K. Kusaka,International Conference on Martensitic Transformations,Effects of Heat Treatment and Thermal Cycle on Helical Spring Properties in NiTiCu Alloy,1992.0,65.0,63.0,39.8,Ni39.8Ti50.2Cu10.0 %,50.2,10.0
S. Miyazaki; T. Hashinaga and A. Ishida,Thin Solid Films,Martensitic transformations in sputter-deposited Ti−Ni−Cu shape memory alloy thin films,1996.0,65.0,74.0,43.0,Ni43.0Ti50.8Cu6.2 %,50.8,6.2
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,65.0,119.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,65.0,119.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,65.0,117.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
C. Araujo; M. Morin and G. Guénin,Journal de Physique IV,Fatigue behavior of Ti-Ni-Cu thin wires SME,1997.0,65.0,79.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
S. M. Tan; V. H. No and S. Miyazaki,Acta Materialia,Ti-content and annealing temperature dependence of deformation characteristics of TiXNi(92−X)Cu8 shape memory alloys,1998.0,65.0,81.0,42.0,Ni42.0Ti50.0Cu8.0 %,50.0,8.0
S. M. Tan; V. H. No and S. Miyazaki,Acta Materialia,Ti-content and annealing temperature dependence of deformation characteristics of TiXNi(92−X)Cu8 shape memory alloys,1998.0,65.0,79.0,41.0,Ni41.0Ti51.0Cu8.0 %,51.0,8.0
H. Rösner; A. V. Shelyakov; A. M. Glezer; K. Feit and P. Schloßmacher,Materials Science and Engineering: A,A study of an amorphous-crystalline structured Ti–25Ni–25Cu (at.%) shape memory alloy,1999.0,65.0,17.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
D. A. Miller and D. C. Lagoudas,Smart Materials and Structures,Thermomechanical characterization of NiTiCu and NiTi SMA actuators: influence of plastic strains,2000.0,65.0,71.0,45.0,Ni45.0Ti45.0Cu10.0 %,45.0,10.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,65.0,64.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,65.0,73.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
L. Rong; D. A. Miller and D. C. Lagoudas,Metallurgical and Materials Transactions,Transformation behavior in a thermomechanically cycled TiNiCu alloy,2000.0,65.0,74.0,40.0,Ni40.0Ti50.0Cu10.0 %,50.0,10.0
C. J. d. Araújo; C. H. Gonzalez; M. Morin and G. Guénin,Materials ReseVARh,Influence of the mechanical loading history on the stress assisted two way memory effect in a Ti-Ni-Cu alloy,2001.0,65.0,90.0,45.0,Ni45.0Ti50.0Cu5.0 %,50.0,5.0
T. Goryczka; M. Karolus; P. Ochin and H. Morawiec,Journal de Physique IV,Structure of melt spun Ni25Ti50Cu25 ribbons studied by X-ray diffraction,2001.0,65.0,61.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Liu,Materials Science and Engineering: A,Mechanical and thermomechanical properties of a Ti50Ni25Cu25 melt spun ribbon,2003.0,65.0,64.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Liu and X. Huang,Philosophical Magazine,Substrate-induced stress and transformation characteristics of a deposited Ti–Ni–Cu thin film,2004.0,65.0,73.0,48.2,Ni48.2Ti50.0Cu1.8 %,50.0,1.8
Y. Liu and X. Huang,Philosophical Magazine,Substrate-induced stress and transformation characteristics of a deposited Ti–Ni–Cu thin film,2004.0,65.0,75.0,48.2,Ni48.2Ti50.0Cu1.8 %,50.0,1.8
G. P. Cheng and Z. L. Xie,Journal of Alloys and Compounds,Some results on shape memory properties of Ti50Ni25Cu25 Melt Spun ribbons,2005.0,65.0,59.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,65.0,72.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,65.0,68.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,65.0,60.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,65.0,61.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,65.0,66.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
K. N. Lin and S. K. Wu,Journal of Alloys and Compounds,Origin of three-stage transformation in a severely cold-rolled and annealed Ti51Ni40Cu9 shape memory alloy,2008.0,65.0,59.0,40.0,Ni40.0Ti51.0Cu9.0 %,51.0,9.0
N. Resnina; S. Belyaev and A. Shelyakov,The European Physical Journal-Special Topics,Martensitic transformation in amorphous-crystalline Ti-Ni-Cu and Ti-Hf-Ni-Cu thin ribbons,2008.0,65.0,59.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,65.0,69.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
D. Konig; M. Ehmann; S. Thienhaus and A. Ludwig,Journal of Microelectromechanical Systems,Micro-to nanostructured devices for the characterization of scaling effects in shape-memory thin films,2010.0,65.0,54.0,32.0,Ni32.0Ti52.0Cu16.0 %,52.0,16.0
