Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Ni (at.%),composition,Al (at.%),Fe (at.%)
R. Kainuma; K. Ishida and T. Nishizawa,Metallurgical Transactions A,Thermoelastic martensite and shape memory effect in B2 base Ni-Al-Fe alloy with enhanced ductility,1992.0,74.0,84.0,57.0,Ni57.0Al25.0Fe18.0 %,25.0,18.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,57.0,125.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,16.0,71.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,119.0,195.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,84.0,136.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
J. Yang and C. Wayman,Materials Science and Engineering: A,On the Ni5Al3 phase and related phenomena in a NiAlFe alloy,1993.0,-172.0,-149.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
E. P. George; C. T. Liu; J. A. Horton; H. Kunsmann; T. King and M. Kao,,Ecomaterials,1994.0,128.0,153.0,58.5,Ni58.5Al25.5Fe16.0 %,25.5,16.0
E. P. George; C. T. Liu; J. A. Horton; H. Kunsmann; T. King and M. Kao,,Ecomaterials,1994.0,125.0,113.0,58.5,Ni58.5Al25.5Fe16.0 %,25.5,16.0
E. P. George; C. T. Liu; J. A. Horton; C. J. Sparks; M. Kao; H. Kunsmann and T. King,Materials Characterization,Characterization; processing; and alloy design of NiAl-based shape memory alloys,1994.0,396.0,395.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
E. P. George; C. T. Liu; J. A. Horton; C. J. Sparks; M. Kao; H. Kunsmann and T. King,Materials Characterization,Characterization; processing; and alloy design of NiAl-based shape memory alloys,1994.0,118.0,108.0,59.0,Ni59.0Al27.0Fe14.0 %,27.0,14.0
C. Y. Xie; B. H. Jiang and G. X. Hu,Scripta Metallurgica et Materialia,Three stage yielding phenomenon in a NiAlFe alloy,1994.0,-42.0,-57.0,56.8,Ni56.8Al25.2Fe18.0 %,25.2,18.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,3.0,18.0,63.2,Ni63.2Al35.550000000000004Fe1.25 %,35.55,1.25
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,15.0,34.0,63.4304,Ni63.4304Al35.6796Fe0.89 %,35.6796,0.89
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,79.0,85.0,63.7248,Ni63.724799999999995Al35.8452Fe0.43 %,35.8452,0.43
C. Xie; L. Sen and T. Hsu,Scripta Materialia,Two-way shape memory effect in a NiAl-Fe alloy,1996.0,40.0,33.0,57.19,Ni57.19Al24.28Fe18.53 %,24.28,18.53
C. Xie and T. Hsu,Materials characterization,Catalysis of deformation on martensitic and reverse transformations in a NiAl-Fe shape memory alloy,1997.0,43.0,50.0,57.74,Ni57.739999999999995Al24.06Fe18.2 %,24.06,18.2
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,19.0,28.0,58.0,Ni58.0Al26.0Fe16.0 %,26.0,16.0
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,20.0,24.0,58.4,Ni58.400000000000006Al23.6Fe18.0 %,23.6,18.0
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,29.0,31.0,58.8,Ni58.8Al21.2Fe20.0 %,21.2,20.0
N. Ono; A. Tsukahara; R. Kainuma and K. Ishida,Materials Science and Engineering: A,The properties of two-phase Ni–Al–Fe shape memory alloys in the virgin and shape-memory-cycled states,1999.0,20.0,29.0,59.2,Ni59.2Al18.8Fe22.0 %,18.8,22.0
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,60.0,69.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,59.0,64.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,50.0,54.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,50.0,54.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Materials & Design,Mechanical behavior and shape memory effect of an aged NiAl–Fe alloy,2000.0,88.0,88.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C. Xie and J. Wu,Intermetallics,Effect of ageing on the phase transformation temperatures and shape memory effect of a NiAl-Fe alloy,2000.0,42.0,51.0,57.7,Ni57.7Al24.1Fe18.2 %,24.1,18.2
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,159.0,152.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,125.0,122.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,122.0,134.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,124.0,142.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,127.0,136.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
C.-Y. Xie; P. Huang and J. Wu,Smart Structures and Materials 2001: Active Materials: Behavior and Mechanics,Effect of aging and training on the two-way shape memory effect of a NiAl-Fe alloy,2001.0,153.0,149.0,60.0,Ni60.0Al25.0Fe15.0 %,25.0,15.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,22.0,15.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,-60.0,-56.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,-32.0,-34.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,21.0,21.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,28.0,19.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
K. Oikawa; Y. Tanaka; Y. Sutou; T. Omori; F. Luo; R. Kainuma and K. Ishida,ISIJ international,Effects of Aging and Co Addition on Martensitic and Magnetic Transitions in Ni–Al–Fe β-based Shape Memory Alloys,2006.0,30.0,23.0,50.0,Ni50.0Al25.0Fe25.0 %,25.0,25.0
Z. C. Zhou; S. Y. Gu and C. E. Wen,Journal of Alloys and Compounds,Phase transformation in oil-quenched Ni–21.2Al–20Fe alloy,2011.0,99.0,69.0,58.8,Ni58.8Al21.2Fe20.0 %,21.2,20.0
A. Lakhani,Journal of Physics: Conference Series,Effect of magnetic field on the first order Martensite phase transition in Ni 55 Fe 20 Al 25 shape memory alloy,2014.0,-190.0,-118.0,55.0,Ni55.0Al25.0Fe20.0 %,25.0,20.0
S. Ponomarova; V. Odnosum; I. Koval; G. Monastyrsky; V. Kolomytsev; P. Ochin; R. Portier; T. Czeppe and O. Ponomarov,MATEC Web of Conferences,Martensitic transformation and shape memory effect in Ni-Al based alloys,2015.0,115.0,200.0,59.8,Ni59.800000000000004Al37.4Fe2.8 %,37.4,2.8
K. Kargeti; A. Kargeti and P. Mukhopadhyay,Student Journal of Physics,Synthesis of Ni-Fe-Al Heusler alloys and study of their microstructure and FSMA nature,2017.0,-52.0,-30.0,60.0,Ni60.0Al21.0Fe19.0 %,21.0,19.0
