Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Co (at.%)
"Mohammad Sharifi; E.
Kermanpur; A.
Karimzadeh; F.",Materials Science and Engineering: A,The effect of thermomechanical processing on the microstructure and mechanical properties of the nanocrystalline TiNiCo shape memory alloy,2014.0,13.0,17.0,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,22.0,28.0,50.5,Ni50.5Ti49.0Co0.5 %,49.0,0.5
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,31.0,48.0,49.5,Ni49.5Ti49.0Co1.5 %,49.0,1.5
El-Bagoury; N.,Materials Science and Technology,Microstructure and martensitic transformation and mechanical properties of cast Ni rich NiTiCo shape memory alloy,2014.0,42.0,48.0,47.0,Ni47.0Ti49.0Co4.0 %,49.0,4.0
"Goryczka; T.
Lelatko; J.
Vokoun; D.
Ochin; P.",ESOMAT 2009 - 8th European Symposium on Martensitic Transformations,Martensitic transformation in NiTiCo strip covered by nanocrystalline platinum layer,2009.0,-17.75,1.15,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Goryczka; T.
Lelatko; J.
Vokoun; D.
Ochin; P.",ESOMAT 2009 - 8th European Symposium on Martensitic Transformations,Martensitic transformation in NiTiCo strip covered by nanocrystalline platinum layer,2009.0,-20.0,-2.15,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Goryczka; T.
Morawiec; H.",Journal of Alloys and Compounds,Structure studies of the R-phase using X-ray diffraction methods,2004.0,-53.9,-27.8,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,-16.61,2.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,-14.3,2.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,-18.4,15.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
Goryczka; Tomasz,Solid State Phenomena,Structure and Shape Memory Effect in Annealed Ni-Ti-Co Strip Produced by Twin Roll Casting Technique,2009.0,-20.3,-2.25,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Isola; L.
La Roca; P.
Roatta; A.
Vermaut; Ph
Jordan; L.
Ochin; P.
Malarría; J.",Materials Science and Engineering: A,Load-biased martensitic transformation strain of Ti50–Ni47–Co3 strip obtained by a twin-roll casting technique,2014.0,-66.15,-28.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Isola; L.
La Roca; P.
Roatta; A.
Vermaut; Ph
Jordan; L.
Ochin; P.
Malarría; J.",Materials Science and Engineering: A,Load-biased martensitic transformation strain of Ti50–Ni47–Co3 strip obtained by a twin-roll casting technique,2014.0,-66.15,-27.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Isola; L.
La Roca; P.
Sobrero; C.
Fuster; V.
Vermaut; Ph
Malarría; J.",Materials & Design,Martensitic transformation strain and stability of Ni50−x–Ti50–Cox (x=3;4) strips obtained by twin-roll casting and standard processing techniques,2016.0,-66.0,-28.0,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Isola; L.
La Roca; P.
Sobrero; C.
Fuster; V.
Vermaut; Ph
Malarría; J.",Materials & Design,Martensitic transformation strain and stability of Ni50−x–Ti50–Cox (x=3;4) strips obtained by twin-roll casting and standard processing techniques,2016.0,-33.0,10.85,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
"Jing; Rui-rui
Liu; Fu-shun",Chinese Journal of Aeronautics,The Influence of Co Addition on Phase Transformation Behavior and Mechanical Properties of TiNi Alloys,2007.0,31.13566508,58.05890981,48.0,Ni48.0Ti50.0Co2.0 %,50.0,2.0
"Jing; Rui-rui
Liu; Fu-shun",Chinese Journal of Aeronautics,The Influence of Co Addition on Phase Transformation Behavior and Mechanical Properties of TiNi Alloys,2007.0,-15.97702796,-3.78895746,46.0,Ni46.0Ti50.0Co4.0 %,50.0,4.0
"Jing; Rui-rui
Liu; Fu-shun",Chinese Journal of Aeronautics,The Influence of Co Addition on Phase Transformation Behavior and Mechanical Properties of TiNi Alloys,2007.0,-70.70715024,-48.86800907,44.0,Ni44.0Ti50.0Co6.0 %,50.0,6.0
"Jing; Rui-rui
Liu; Fu-shun",Chinese Journal of Aeronautics,The Influence of Co Addition on Phase Transformation Behavior and Mechanical Properties of TiNi Alloys,2007.0,-132.5513434,-113.2519576,42.0,Ni42.0Ti50.0Co8.0 %,50.0,8.0
"Goryczka; Tomasz
Ochin; Patrick",Solid State Phenomena,Texture in NiTi-Based Shape Memory Alloys Produced by Twin Roll Casting,2013.0,-6.9,12.7,47.0,Ni47.0Ti50.0Co3.0 %,50.0,3.0
