Authors,Source,Title,Year,composition,Ag (at.%),Al (at.%),Au (at.%),Cd (at.%),Co (at.%),Cu (at.%),Fe (at.%),Hf (at.%),Mn (at.%),Nb (at.%),Ni (at.%),Pd (at.%),Pt (at.%),Ru (at.%),Si (at.%),Ta (at.%),Ti (at.%),Zn (at.%),Zr (at.%),Austenite Finish Temperature - AF - (°C),Austenite Start Temperature - AS - (°C),Martensite Finish Temperature - MF - (°C),Martensite Start Temperature - MS - (°C),Cooling Rate (°C/min),Heating Rate (°C/min),Calculated Density (g/cm^3),Thermal transformation span (TSPAN) - (AF-MF) - (°C)
Golovin IS; Markova GV; Kustov SB; Komissarov AA,The Physics of Metals and Metallography,Study of martensitic transformation in the Fe-22 Mn-3 Si alloy by mechanical spectroscopy,2010.0,Fe72.58Mn21.64Si5.78 %,,,,,,,72.58,,21.64,,,,,,5.78,,,,,249.6,201.7,135.51,67.89,,,7.28311,114.09
Golovin IS; Pons J; Kustov SB; Cesari E,Metal Science and Heat Treatment, Effect of thermal cycling on martensitic γ↔ ε-transformation in alloy Fe–22% Mn–3% Si,2012.0,Fe73.08Mn21.71Si5.21 %,,,,,,,73.08,,21.71,,,,,,5.21,,,,,203.0,202.7,132.8,129.0,10.2,10.2,7.327542,129.0
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti45.0Pd55.0 %,,,,,,,,,,,,55.0,,,,,45.0,,,475.0,410.0,380.0,430.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti47.5Pd52.5 %,,,,,,,,,,,,52.5,,,,,47.5,,,525.0,495.0,455.0,475.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti49.0Pd51.0 %,,,,,,,,,,,,51.0,,,,,49.0,,,540.0,520.0,470.0,485.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,550.0,520.0,480.0,510.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti51.0Pd49.0 %,,,,,,,,,,,,49.0,,,,,51.0,,,525.0,495.0,455.0,485.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti52.5Pd47.5 %,,,,,,,,,,,,47.5,,,,,52.5,,,495.0,455.0,420.0,460.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti55.0Pd45.0 %,,,,,,,,,,,,45.0,,,,,55.0,,,470.0,430.0,410.0,450.0,,,,
K. Enami and Y. Nakagawa,ICOMAT 1992,93 martensite in the Ti-Pd-Fe alloys,1992.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,577.0,573.0,528.0,533.0,,,,
K. Otsuka; K. Oda; Y. Ueno; M. Piao; T. Ueki and H. Horikawa,Scripta Metallurgica et Materialia,The shape memory effect in a Ti50Pd50 alloy,1993.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,590.8,574.0,539.6,544.7,,,,
T. Hoshiya; I. Goto; M. Omi; H. Ando; K. Enami and K. Yamauchi,,Ecomaterials,1994.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,596.0,566.0,533.0,513.0,,,,
T. Hoshiya; H. Sekino; Y. Matsui; F. Sakurai and K. Enami,Journal of nuclear materials,Effects of residual strain on deformation processes of neutron-irradiated Ti Ni and Ti Pd shape memory alloys,1996.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,598.0,566.0,511.0,532.0,,,,
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,589.0,517.0,526.0,540.0,5.0,5.0,,
Y. Xu; K. Otsuka; E. Furubayashi and K. Mitose,Materials Letters,TEM observation of recrystallization process in solution-treated Ti50Pd50 martensite,1998.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,587.6,572.3,532.1,536.8,10.0,10.0,,
W. Cai; K. Otsuka and M. Asai,Materials transactions; JIM,Martensite aging effect in Ti–Pd and Ti–Pd–Ni high temperature shape memory alloys,1999.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,587.1,572.2,528.2,532.4,10.0,10.0,,
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,597.0,580.0,530.0,538.0,10.0,10.0,,
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,Ti53.0Pd47.0 %,,,,,,,,,,,,47.0,,,,,53.0,,,591.0,585.0,530.0,534.0,10.0,10.0,,
T. Yamamuro; Y. Morizono; J. Honjyo and M. Nishida,Materials Science and Engineering: A,Phase equilibrium and martensitic transformation in near equiatomic TiPd alloys,2006.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,600.0,581.0,530.0,538.0,,,,
T. Yamamuro; Y. Morizono; J. Honjyo and M. Nishida,Materials Science and Engineering: A,Phase equilibrium and martensitic transformation in near equiatomic TiPd alloys,2006.0,Ti55.0Pd45.0 %,,,,,,,,,,,,45.0,,,,,55.0,,,601.0,591.0,532.0,539.0,,,,
M. Kawakita; M. Takahashi; S. Takahashi and Y. Yamabe-Mitarai,Materials Letters,Effect of Zr on phase transformation and high-temperature shape memory effect in TiPd alloys,2012.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,584.0,565.0,511.0,524.0,10.0,10.0,,
M. Todai; T. Fukuda and T. Kakeshita,Journal of Alloys and Compounds,Temperature dependence of diffuse satellites in Ti–(50− x) Pd–xFe (14⩽ x⩽ 20 (at.%)) alloys,2014.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,610.0,603.0,525.0,534.0,,,,
Y. Xu; S. Shimizu; Y. Suzuki; K. Otsuka; T. Ueki; K. Mitose,Acta Materialia,Recovery and Recrystallization Processes in Ti-Pd-Ni High Temperature Shape Memory Alloys,1997.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,589.0,577.0,526.0,540.0,3.0,3.0,,
K. Otsuka; K. Oda; Y. Ueno; M. Piao,Scripta Metallurgica et Materialia,The Shape Memory Effect in a Ti50Pd50 Alloy,1993.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,591.0,574.0,540.0,545.0,,,,
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti45.0Pd55.0 %,,,,,,,,,,,,55.0,,,,,45.0,,,475.0,410.0,380.0,430.0,,,,
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti47.5Pd52.5 %,,,,,,,,,,,,52.5,,,,,47.5,,,525.0,495.0,455.0,475.0,,,,
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti49.0Pd51.0 %,,,,,,,,,,,,51.0,,,,,49.0,,,540.0,520.0,470.0,485.0,,,,
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,550.0,520.0,480.0,510.0,,,,
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti51.0Pd49.0 %,,,,,,,,,,,,49.0,,,,,51.0,,,525.0,495.0,455.0,485.0,,,,
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti52.5Pd47.5 %,,,,,,,,,,,,47.5,,,,,52.5,,,495.0,455.0,420.0,460.0,,,,
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti55.0Pd45.0 %,,,,,,,,,,,,45.0,,,,,55.0,,,470.0,430.0,410.0,450.0,,,,
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,591.0,580.0,550.0,563.0,5.0,5.0,,
Y. N. Koval; G. Firstov and A. Kotko,Scripta metallurgica et materialia,Martensitic transformation and shape memory effect in ZrCu intermetallic compound,1992.0,Zr50.1Cu49.9 %,,,,,,49.9,,,,,,,,,,,,,50.1,330.0,230.0,40.0,140.0,,,,
Y. N. Koval; G. Firstov; J. V. Humbeeck; L. Delaey and W. Jang,Journal de Physique IV,B2 intermetallic compounds of Zr. New class of the shape memory alloys,1995.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,330.0,230.0,40.0,140.0,,,,
G. Firstov; J. Van Humbeeck and Y. N. Koval,Le Journal de Physique IV,Peculiarities of the martensitic transformation in ZrCu intermetallic compound-potential high temperature SMA,2001.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,420.0,305.0,30.0,170.0,,,,
F. Javid; N. Mattern; S. Pauly and J. Eckert,Journal of Alloys and Compounds,Martensitic transformation and thermal cycling effect in Cu–Co–Zr alloys,2011.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,282.0,257.0,138.0,176.0,,,,
F. Meng; K. Tsuchiya; F. Yin; S. Ii and Y. Yokoyama,Journal of Alloys and Compounds,Influence of Al content on martensitic transformation behavior in Zr50Cu50− xAlx,2012.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,267.0,257.0,108.0,172.0,,,,
C. A. Biffi; A. Figini Albisetti and A. Tuissi,Materials Science Forum,CuZr based shape memory alloys: effect of Cr and Co on the martensitic transformation,2013.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,313.0,279.0,77.0,136.0,,,,
F. Meng; K. Tsuchiya; S. Ii and Y. Yokoyama,Journal of Alloys and Compounds,Influence of Ni on stability of martensitic transformation in Zr50Cu50− xNix,2013.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,275.0,264.0,40.0,46.0,,,,
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,Zr45.0Cu55.0 %,,,,,,55.0,,,,,,,,,,,,,45.0,298.0,259.0,42.0,125.0,,,,
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,Zr55.0Cu45.0 %,,,,,,45.0,,,,,,,,,,,,,55.0,289.0,260.0,40.0,128.0,,,,
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,290.0,270.0,97.0,148.0,,,,
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,Zr48.0Cu52.0 %,,,,,,52.0,,,,,,,,,,,,,48.0,291.0,269.0,104.0,153.0,,,,
C. Biffi; A. Figini and A. Tuissi,Intermetallics,Influence of compositional ratio on microstructure and martensitic transformation of CuZr shape memory alloys,2014.0,Zr52.0Cu48.0 %,,,,,,48.0,,,,,,,,,,,,,52.0,290.0,269.0,108.0,156.0,,,,
C. A. Biffi; P. Bassani; R. Casati; M. Vedani and A. Tuissi,Materials Science Forum,Processing of CuZr Based Shape Memory Alloys,2014.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,348.0,294.0,60.0,119.0,,,,
W. Gao; X. Meng; W. Cai and L. Zhao,Journal of Alloys and Compounds,Martensite structure and phase transformation of quaternary ZrCuAlCo high temperature shape memory alloys,2014.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,280.0,259.0,81.0,85.0,,,,
C. Biffi; M. Coduri; H. Yoshida; Y. Soejima; M. Nishida and A. Tuissi,Journal of Alloys and Compounds,The effect of thermal cycling on the martensitic transformation in equiatomic CuZr shape memory alloy,2015.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,-11.0,-23.0,-33.0,-23.0,,,,
F. A. Javid,,Phase formation; martensitic transformation and mechanical properties of Cu-Zr-based alloys,2015.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,280.0,255.0,137.0,175.0,,,,
K. Song; D. Wu; S. Pauly; C. Peng; L. Wang and J. Eckert,Intermetallics,Thermal stability of B2 CuZr phase; microstructural evolution and martensitic transformation in Cu–Zr–Ti alloys,2015.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,321.0,302.0,70.0,105.0,,,,
W. Gao; X. Meng; G. Song; W. Cai and L. Zhao,Journal of Alloys and Compounds,Effect of Hf content on martensitic transformation; microstructure; and mechanical properties of Cu50Zr50− xHfx alloys,2016.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,276.0,259.0,80.0,84.0,,,,
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,Zr48.0Cu52.0 %,,,,,,52.0,,,,,,,,,,,,,48.0,308.0,240.0,69.0,168.0,,,,
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,Zr49.0Cu51.0 %,,,,,,51.0,,,,,,,,,,,,,49.0,307.0,240.0,72.0,168.0,,,,
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,Zr50.0Cu50.0 %,,,,,,50.0,,,,,,,,,,,,,50.0,311.0,247.0,73.0,174.0,,,,
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,Zr51.0Cu49.0 %,,,,,,49.0,,,,,,,,,,,,,51.0,328.0,261.0,67.0,175.0,,,,
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,Zr52.0Cu48.0 %,,,,,,48.0,,,,,,,,,,,,,52.0,316.0,252.0,71.0,177.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti47.4Au52.6 %,,,52.6,,,,,,,,,,,,,,47.4,,,690.0,630.0,585.0,630.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti50.0Au50.0 %,,,50.0,,,,,,,,,,,,,,50.0,,,650.0,615.0,575.0,620.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti52.6Au47.4 %,,,47.4,,,,,,,,,,,,,,52.6,,,630.0,560.0,535.0,605.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti55.0Au45.0 %,,,45.0,,,,,,,,,,,,,,55.0,,,585.0,535.0,520.0,575.0,,,,
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,Ti57.5Au42.5 %,,,42.5,,,,,,,,,,,,,,57.5,,,485.0,390.0,180.0,290.0,,,,
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,Ti47.0Au53.0 %,,,53.0,,,,,,,,,,,,,,47.0,,,638.0,618.0,595.0,610.0,10.0,10.0,,
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,Ti49.0Au51.0 %,,,51.0,,,,,,,,,,,,,,49.0,,,627.0,611.0,591.0,602.0,10.0,10.0,,
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,Ti50.0Au50.0 %,,,50.0,,,,,,,,,,,,,,50.0,,,630.0,618.0,590.0,608.0,10.0,10.0,,
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,Ti51.0Au49.0 %,,,49.0,,,,,,,,,,,,,,51.0,,,600.0,587.0,551.0,574.0,10.0,10.0,,
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,Ti54.0Au46.0 %,,,46.0,,,,,,,,,,,,,,54.0,,,561.0,490.0,436.0,526.0,10.0,10.0,,
C. Declairieux; A. Denquin; P. Ochin; R. Portier and P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,Ti50.0Au50.0 %,,,50.0,,,,,,,,,,,,,,50.0,,,624.0,615.0,586.0,597.0,10.0,10.0,,
