Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Au (at.%)
,,,2022.0,40.769,-13.814,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,18.717,-16.815,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,31.573,-21.883,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,24.062,-41.831,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,23.073,-42.138,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,22.254,-42.138,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,23.786,-43.157,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,24.861,-45.96,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,177.42,112.58,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,195.63,111.98,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,154.74,110.23,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,205.01,106.55,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,211.04,104.01,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,126.2,101.31,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,111.42,93.894,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,118.5,64.4,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,119.7,64.0,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,119.3,63.2,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,119.1,63.2,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,121.8,61.1,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,111.13,53.176,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,145.38,52.492,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,76.164,46.188,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,171.89,45.85,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,187.96,38.552,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,55.048,33.067,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,35.604,15.954,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,35.563,14.811,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,45.6,8.3,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,45.8,7.9,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,45.5,7.7,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,45.7,6.8,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,38.1,5.3,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,173.49,90.014,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,150.7,87.78,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,193.32,85.949,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,206.79,81.998,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,119.46,80.024,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,89.551,70.49,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,73.347,59.079,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,79.7,10.3,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,80.2,9.5,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,80.7,9.2,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,78.9,8.4,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,79.7,7.8,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,146.04,67.301,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,169.75,66.096,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,117.18,60.746,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,201.78,59.27,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,120.5,54.271,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,151.74,52.436,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,87.278,50.341,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,85.617,47.983,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,175.31,44.135,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,57.728,37.905,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,178.63,37.782,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,63.558,35.325,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,78.28,29.704,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,40.684,27.908,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,46.7,-8.3,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,44.7,-11.1,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,47.0,-11.5,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,46.2,-12.1,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,46.9,-12.5,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2026.0,198.93,111.58,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2025.0,178.31,109.44,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2027.0,217.14,109.09,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2024.0,150.98,104.1,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2028.0,234.67,103.19,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2023.0,118.2,96.665,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,101.24,88.198,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,110.0,0.7,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,111.2,-0.6,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,110.3,-0.8,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,109.0,-1.1,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,110.3,-1.2,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,173.3,70.845,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,152.15,69.172,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,121.41,64.352,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,201.75,63.313,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,205.31,62.842,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,190.03,62.203,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,86.047,56.28,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,204.95,55.667,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,198.63,51.425,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,55.906,39.486,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,39.0,-44.2,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,41.9,-51.3,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,41.2,-52.3,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,40.5,-53.0,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,41.3,-53.0,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
