Authors,Source,Title,Year,Martensite Finish Temperature - MF - (°C),Austenite Finish Temperature - AF - (°C),Ni (at.%),composition,Al (at.%)
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,93.0,146.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,65.0,119.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,63.0,126.0,64.0,Ni64.0Al36.0 %,36.0
R. Kainuma; H. Ohtani and K. Ishida,Metallurgical and Materials Transactions A,Effect of alloying elements on martensitic transformation in the binary NiAl(β) phase alloys,1996.0,-36.0,50.0,64.0,Ni64.0Al36.0 %,36.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,251.2007435,322.0446097,64.4,Ni64.4Al35.6 %,35.6
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,167.1486989,233.1895911,64.0,Ni64.0Al36.0 %,36.0
H. Y. Kim and S. Miyazaki,Scripta Materialia,Martensitic transformation behavior in Ni–Al and Ni–Al–Re melt-spun ribbons,2004.0,-39.37918216,9.851301115,63.0,Ni63.0Al37.0 %,37.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,227.0,307.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,227.0,307.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,224.0,314.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,168.0,277.0,65.0,Ni65.0Al35.0 %,35.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,108.0,169.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,74.0,148.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,84.0,165.0,64.0,Ni64.0Al36.0 %,36.0
S. V. Kositsyn; A. I. Valiullin; N. V. Kataeva and I. I. Kositsyna,The Physics of Metals and Metallography,Investigation of microcrystalline NiAl-based alloys with high-temperature thermoelastic martensitic transformation: I. Resistometry of the Ni-Al and Ni-Al-X (X = Co; Si; or Cr) alloys,2006.0,97.0,155.0,64.0,Ni64.0Al36.0 %,36.0
H.-J. Kang; S.-K. Wu and L.-M. Wu,Intermetallics,Martensitic transformation of Ni64Al34Re2 shape memory alloy,2010.0,-58.79678158,1.606100406,64.0,Ni64.0Al36.0 %,36.0
S. Ponomarova; V. Odnosum; I. Koval; G. Monastyrsky; V. Kolomytsev; P. Ochin; R. Portier; T. Czeppe and O. Ponomarov,MATEC Web of Conferences,Martensitic transformation and shape memory effect in Ni-Al based alloys,2015.0,100.0,275.0,64.8,Ni64.8Al35.2 %,35.2
