Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Fe (at.%)
J. Zhang; X. Ren; K. Otsuka; K. Tanaka; Y.I. Chumlyakov and M. Asai,Materials Transactions; JIM,Elastic constants of Ti-48 at% Ni-2 at %Fe single crystal prior B2→ R transformation,1999.0,-31.05,-173.15,48.11,Ni48.11Ti50.0Fe1.89 %,50.0,1.89
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,47.05,-61.55,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,30.55,-34.8,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,-15.81,-124.78,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,-23.46,-135.12,48.4,Ni48.4Ti50.0Fe1.6 %,50.0,1.6
J. Singh ,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Comissioning Of An Arc-melting/vacuum Quench Furnace Facility For Fabrication Of Ni-Ti-Fe Shape Memory Alloys; And the Characterization,2004.0,14.33,-131.9,47.5,Ni47.5Ti50.0Fe2.5 %,50.0,2.5
J.J Wang; T. Omori; Y. Sutou; R. Kainuma and K. Ishida,Scripta Materialia,Two-way shape memory effect induced by cold-rolling in Ti-Ni and Ti-Ni-Fe alloys,2005.0,-12.33915554,-86.24799998,47.5,Ni47.5Ti50.0Fe2.5 %,50.0,2.5
S.K. Wu; H.C. Lin and T.Y. Lin,Materials Science and Engineering:A,Electrical resistivity of Ti–Ni binary and Ti–Ni–X (X=Fe; Cu) ternary shape memory alloys,2006.0,40.4885419,-124.1071144,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
S.K. Wu; H.C. Lin and T.Y. Lin,Materials Science and Engineering:A,Electrical resistivity of Ti–Ni binary and Ti–Ni–X (X=Fe; Cu) ternary shape memory alloys,2006.0,0.520356549,-98.80947933,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
S.K. Wu; H.C. Lin and T.Y. Lin,Materials Science and Engineering:A,Electrical resistivity of Ti–Ni binary and Ti–Ni–X (X=Fe; Cu) ternary shape memory alloys,2006.0,-3.049378048,-79.40729366,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
H. Sitepu,Powder Diffraction ,Structural refinement of neutron powder diffraction data of two-stage martensitic phase transformations in Ti 50.75 Ni 47.75 Fe 1.50 shape memory alloy,2007.0,60.25437156,0.340231734,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
J. Frenzel; J. Pfetzing; K. Neuking and G. Eggeler,Materials Science and Engineering:A,On the influence of thermomechanical treatments on the microstructure and phase transformation behavior of Ni-Ti-Fe shape memory alloy,2008.0,-0.980270057,-90.39372434,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
J. Frenzel; J. Pfetzing; K. Neuking and G. Eggeler,Materials Science and Engineering:A,On the influence of thermomechanical treatments on the microstructure and phase transformation behavior of Ni-Ti-Fe shape memory alloy,2008.0,-6.320427422,-100.1858462,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
J. Frenzel; J. Pfetzing; K. Neuking and G. Eggeler,Materials Science and Engineering:A,On the influence of thermomechanical treatments on the microstructure and phase transformation behavior of Ni-Ti-Fe shape memory alloy,2008.0,-2.78397868,-98.86355476,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,64.85,4.85,48.5,Ni48.5Ti50.5Fe1.0 %,50.5,1.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,17.85,-153.15,50.5,Ni50.5Ti48.5Fe1.0 %,48.5,1.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-6.15,-153.15,52.0,Ni52.0Ti46.0Fe2.0 %,46.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-32.15,-153.15,55.4,Ni55.4Ti42.6Fe2.0 %,42.6,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,24.85,-74.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-9.15,-153.15,50.0,Ni50.0Ti48.0Fe2.0 %,48.0,2.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-34.15,-153.15,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,17.85,-109.15,47.5,Ni47.5Ti49.5Fe3.0 %,49.5,3.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-18.15,-153.15,49.5,Ni49.5Ti47.5Fe3.0 %,47.5,3.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-21.15,-153.15,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-31.15,-153.15,49.0,Ni49.0Ti47.0Fe4.0 %,47.0,4.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-45.15,-153.15,49.0,Ni49.0Ti47.0Fe4.0 %,47.0,4.0
R.M. Manjeri,Department of Mechanical; Materials and Aerospace Engineering; University of Central Florida,Low temperature and reduced length scale behavior of shape memory and superelastic NiTi and NiTiFe alloys,2009.0,-35.15,-153.15,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,32.85,-17.15,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,37.65734315,-30.27865409,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,35.89395221,-38.88515641,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,35.90602904,-43.65643303,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,34.38779291,-52.57151982,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
T. Nishiura and M. Nishida,Materials Transactions,Internal defects of B19' martensite vi R-phase in Ti-Ni-Fe and thermally cycled Ti-Ni alloys,2009.0,33.14780861,-57.31436619,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
B.D. Ingale; W.C. Wei; P.C. Chang; Y.K. Kuo and S.K. Wu,Journal of Applied Physics,Anomalous transport and thermal properties of NiTi and with Cu and Fe-doped shape memory alloys near the martensitic transition,2011.0,24.11781706,-108.4614478,48.5,Ni48.5Ti50.0Fe1.5 %,50.0,1.5
T. Nagase; A. Sasaki; H. Y. Yasuda; H. Mori; T. Terai and T. Kakeshita,Intermetallics,Stability of B2 phase in Ti–Ni–Fe alloys against MeV electron-irradiation-induced solid-state amorphization and martensite transformation,2011.0,-25.85047089,-65.62848547,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
M. Todai. A. Higaki; T. Fukuda and T. Kakeshita,Philosophical Magazine Letters,Martensitic transformation from incommensurate state with nano-scale domain structure in a Ti–42Ni–8Fe (at.%) alloy under a compressive stress,2011.0,-66.65934436,-187.9338689,42.0,Ni42.0Ti50.0Fe8.0 %,50.0,8.0
S. Kustov; D. Salas; E. Cesari; R. Santamarta and J. Van Humbeeck,Acta Materialia,Isothermal and athermal martensitic transformations in Ni–Ti shape memory alloys,2012.0,-46.40531915,-128.4549645,47.4,Ni47.4Ti50.0Fe2.6 %,50.0,2.6
H. Sen; Y. Wang; J. Zhang; D. Wang; S. Ren and X. Ren,EPL (Europhysics Letters),Evidence for crossover martensite in Ti50Ni45Fe5: An intermediate state between normal martensite and strain glass,2012.0,-6.26954495,-22.55141665,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
H. Sen; Y. Wang; J. Zhang; D. Wang; S. Ren and X. Ren,EPL (Europhysics Letters),Evidence for crossover martensite in Ti50Ni45Fe5: An intermediate state between normal martensite and strain glass,2012.0,-52.0,-96.67409152,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
S. Xue; W. Wang; D. Wu; Q. Zhai and H. Zheng,Materials Letters,On the explanation for the time-dependence of B2 to R martensitic transformation in Ti50Ni47Fe3 shape memory alloy,2012.0,-12.79193387,-42.00111114,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
S. Xue; W. Wang; D. Wu; Q. Zhai and H. Zheng,Materials Letters,On the explanation for the time-dependence of B2 to R martensitic transformation in Ti50Ni47Fe3 shape memory alloy,2012.0,-13.91655052,-50.50191638,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B.C. Maji; M. Krishnan and I. Samajdar,Metallurgical and Materials Transactions A,Microstructural Developments Through Marforming in a Ni-Ti-Fe Shape Memory Alloy,2013.0,-4.67421458,-31.03781596,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B.C. Maji; M. Krishnan and I. Samajdar,Metallurgical and Materials Transactions A,Microstructural Developments Through Marforming in a Ni-Ti-Fe Shape Memory Alloy,2013.0,-2.740955504,-25.94188196,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
M. Matsuda; R. Yamashita; S. Tsurekawa; K. Takashima; M. Mitsuhara and M. Nishida,Journal of Alloys and Compounds,Antiphase boundary-like structure of B19′ martensite via R-phase transformation in Ti–Ni–Fe alloy,2014.0,39.85,-58.15,47.75,Ni47.75Ti50.75Fe1.5 %,50.75,1.5
C-Y. Nien; H-K. Wang; C-H. Chen; S. Li; S-K Wu and C-H Hsueh,Journals of Materials Research: Cambridge University Press,Superelasticity of TiNi-based shape memory alloys at micro/nanoscale,2014.0,10.0,-45.8,49.71,Ni49.71Ti49.49Fe0.8 %,49.49,0.8
Y. Zhang and F-S. Liu,Materials Science Forum: Trans Tech Publications Ltd,Effects of mechanical treatment and pre-deformation on shape recovery stress of Ti50Ni47Fe3 shape memory alloy,2014.0,32.0,-61.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Zhang and F-S. Liu,Materials Science Forum: Trans Tech Publications Ltd,Effects of mechanical treatment and pre-deformation on shape recovery stress of Ti50Ni47Fe3 shape memory alloy,2014.0,-5.0,-181.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-22.13287465,-48.52896344,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-20.55750646,-51.5123197,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-21.36051627,-45.6506224,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-21.47052848,-50.80636736,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-23.70650376,-47.03529036,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; L. Jain; B. Maji and M. Krishnan,Journal of Alloys and Compounds,Dynamic recrystallization in a Ni-Ti-Fe shape memory alloy: Effects on austenite–martensite phase transformation,2015.0,-23.63028975,-50.45932988,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M. Eskandari; L. Upadhayay; M.A. Mohtadi-Bonab and J.A. Szpunar,Journal of Alloys and Compounds,A systematic investigation on the role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys,2015.0,-18.2,-25.0,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M. Eskandari; L. Upadhayay; M.A. Mohtadi-Bonab and J.A. Szpunar,Journal of Alloys and Compounds,A systematic investigation on the role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys,2015.0,-17.87,-24.7,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M. Eskandari; L. Upadhayay; M.A. Mohtadi-Bonab and J.A. Szpunar,Journal of Alloys and Compounds,A systematic investigation on the role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys,2015.0,-18.2,-25.78,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-17.86864849,-25.44842283,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-18.81795378,-24.80413267,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-18.89706948,-24.88328992,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-19.01007113,-25.00755226,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-17.19765682,-25.58413473,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-17.25521113,-25.66473029,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-17.09387357,-25.50353918,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
R. Basu; M.A. Mohtadi-Bonab; X. Wang; M. Eskandari and J.A. Szpunar,Journal of Alloys and Compounds,Role of microstructure on phase transformation behavior in Ni–Ti–Fe shape memory alloys during thermal cycling,2015.0,-17.02484745,-25.73238955,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
C-H. Chen and S-K. Wu,Materials Characterization,Observations of self-accomodated R-phase morphologies in a Ti50.3Ni48.2Fe1.5 shape memory alloy,2015.0,58.0,-29.1,48.2,Ni48.2Ti50.3Fe1.5 %,50.3,1.5
S-H. Chang; C. Chien and S-K. Wu,Materials Transactions,Damping characteristics of the inherent and intrinsic internal friction of Ti50Ni50-xFex  (x= 2; 3; and 4) shape memory alloys,2016.0,29.16165078,-89.3,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
S-H. Chang; C. Chien and S-K. Wu,Materials Transactions,Damping characteristics of the inherent and intrinsic internal friction of Ti50Ni50-xFex  (x= 2; 3; and 4) shape memory alloys,2016.0,17.0,-146.8,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
S-H. Chang; C. Chien and S-K. Wu,Materials Transactions,Damping characteristics of the inherent and intrinsic internal friction of Ti50Ni50-xFex  (x= 2; 3; and 4) shape memory alloys,2016.0,-13.1,-59.3,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
T. Fukuda; G. Yamasaki; H. Yoshinobu and T. Kakeshita,Materials Transactions,Mechanical Properties of the R-Phase and the Commensurate Phase under [111] Tensile Stress in Iron-Doped Titanium-Nickel Alloys,2016.0,-14.53940429,-23.66623004,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
T. Fukuda; G. Yamasaki; H. Yoshinobu and T. Kakeshita,Materials Transactions,Mechanical Properties of the R-Phase and the Commensurate Phase under [111] Tensile Stress in Iron-Doped Titanium-Nickel Alloys,2016.0,-15.51367885,-25.86893978,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
T. Fukuda; G. Yamasaki; H. Yoshinobu and T. Kakeshita,Materials Transactions,Mechanical Properties of the R-Phase and the Commensurate Phase under [111] Tensile Stress in Iron-Doped Titanium-Nickel Alloys,2016.0,-25.15,-40.37984337,46.0,Ni46.0Ti50.0Fe4.0 %,50.0,4.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,82.04645957,53.51351351,49.0,Ni49.0Ti50.0Fe1.0 %,50.0,1.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,-17.64933584,-35.85585586,49.0,Ni49.0Ti50.0Fe1.0 %,50.0,1.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,-31.24261052,-79.81981982,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,59.4078319,-8.828828829,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
G.K. Gupta; K. K. Patel; R. Purohit and P. Bhagoria,Materials Today: Proceedings,Effect Of Rolling On Ni-Ti-Fe Shape Memory Alloys Prepared Through Novel Powder Metallurgy Route,2017.0,-49.03416095,-93.51351351,45.0,Ni45.0Ti50.0Fe5.0 %,50.0,5.0
K. Sapozhnikov; J. Torrens-Serra; E. Cesari; J. Van Humbeeck and S. Kustov,Metals,Effect of Hydrogen on the Elastic and Anelastic Properties of the R Phase in Ti50Ni46.1Fe3.9 Alloy,2017.0,-34.24714286,-38.25342478,46.1,Ni46.1Ti50.0Fe3.9 %,50.0,3.9
Y-Q. Zhang; S-Y. Jiang; X-M. Zhu; Y-N. Zhao; Y-L. Liang and D. Sun,Transactions of Nonferrous Metals Society of China,Influence of Fe addition on phase transformation behavior of NiTi shape memory alloy,2017.0,-3.176043557,-24.43284936,45.0,Ni45.0Ti51.8Fe3.2 %,51.8,3.2
Y. Liang; S. Jiang; Y. Zhang and C. Zhao,Journal of Materials Engineering and Performance,Effect of Plane Strain Compression and Subsequent Recrystallization Annealing on Microstructures and Phase Transformation of NiTiFe Shape Memory Alloy,2018.0,-9.4,-42.4,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Liang; S. Jiang; Y. Zhang and C. Zhao,Journal of Materials Engineering and Performance,Effect of Plane Strain Compression and Subsequent Recrystallization Annealing on Microstructures and Phase Transformation of NiTiFe Shape Memory Alloy,2018.0,-18.0,-38.6,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Liang; S. Jiang; Y. Zhang and C. Zhao,Journal of Materials Engineering and Performance,Effect of Plane Strain Compression and Subsequent Recrystallization Annealing on Microstructures and Phase Transformation of NiTiFe Shape Memory Alloy,2018.0,-18.1,-39.6,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
Y. Liang; S. Jiang; Y. Zhang and C. Zhao,Journal of Materials Engineering and Performance,Effect of Plane Strain Compression and Subsequent Recrystallization Annealing on Microstructures and Phase Transformation of NiTiFe Shape Memory Alloy,2018.0,-18.1,-40.1,47.0,Ni47.0Ti50.0Fe3.0 %,50.0,3.0
I. Aaltio; T. Fukuda and T. Kakeshita,Journal of Alloys and Compounds,Elastocaloric cooling and heating using R-phase transformation in hot rolled Ni-Ti-Fe shape memory alloys with 2 and 4 at% Fe content,2019.0,20.85,-97.15,48.0,Ni48.0Ti50.0Fe2.0 %,50.0,2.0
