Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Nb (at.%)
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
X.-M. He; L.-J. Rong; Y.-Y. Li; D.-S. Yan and Z.-M. Jiang,Metallurgical and Materials Transactions A,Study of the Ni 41.3 Ti 38.7 Nb 20 wide transformation hysteresis shape-memory alloy,2004.0,10.0,10.0,41.3,Ni41.3Ti38.7Nb20.0 %,38.7,20.0
W. Cai; X. Lu and L. Zhao,Materials Science and Engineering: A,Damping behavior of TiNi-based shape memory alloys,2005.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. He; L. Rong; D. Yan and Y. Li,Scripta Materialia,Temperature memory effect of Ni47Ti44Nb9 wide hysteresis shape memory alloy,2005.0,10.0,10.0,47.14835165,Ni47.14835164835166Ti43.85164835164835Nb9.0 %,43.85164835,9.0
L. Wang; L. Rong; D. Yan; Z. Jiang and Y. Li,Intermetallics,DSC study of the reverse martensitic transformation behavior in a shape memory alloy pipe-joint,2005.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
L. Wang; L. Rong; D. Yan; Z. Jiang and Y. Li,Intermetallics,DSC study of the reverse martensitic transformation behavior in a shape memory alloy pipe-joint,2005.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
L. Wang; L. Rong; D. Yan; Z. Jiang and Y. Li,Intermetallics,DSC study of the reverse martensitic transformation behavior in a shape memory alloy pipe-joint,2005.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
L. Wang; L. Rong; D. Yan; Z. Jiang and Y. Li,Intermetallics,DSC study of the reverse martensitic transformation behavior in a shape memory alloy pipe-joint,2005.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
L. Wang; L. Rong; D. Yan; Z. Jiang and Y. Li,Intermetallics,DSC study of the reverse martensitic transformation behavior in a shape memory alloy pipe-joint,2005.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. He; D. Yan; L. Rong and Y. Li,AIP Conference Proceedings,Effect of Thermal Cycling on Martensitic Transformation Characteristics of (Ni47Ti44) 100− xNbx Shape Memory Alloys,2006.0,10.0,10.0,50.14835165,Ni50.14835164835166Ti46.85164835164835Nb3.0 %,46.85164835,3.0
X. He; D. Yan; L. Rong and Y. Li,AIP Conference Proceedings,Effect of Thermal Cycling on Martensitic Transformation Characteristics of (Ni47Ti44) 100− xNbx Shape Memory Alloys,2006.0,10.0,10.0,50.14835165,Ni50.14835164835166Ti46.85164835164835Nb3.0 %,46.85164835,3.0
X. He; D. Yan; L. Rong and Y. Li,AIP Conference Proceedings,Effect of Thermal Cycling on Martensitic Transformation Characteristics of (Ni47Ti44) 100− xNbx Shape Memory Alloys,2006.0,10.0,10.0,47.14835165,Ni47.14835164835166Ti43.85164835164835Nb9.0 %,43.85164835,9.0
X. He; D. Yan; L. Rong and Y. Li,AIP Conference Proceedings,Effect of Thermal Cycling on Martensitic Transformation Characteristics of (Ni47Ti44) 100− xNbx Shape Memory Alloys,2006.0,10.0,10.0,47.14835165,Ni47.14835164835166Ti43.85164835164835Nb9.0 %,43.85164835,9.0
X. He; D. Yan; L. Rong and Y. Li,AIP Conference Proceedings,Effect of Thermal Cycling on Martensitic Transformation Characteristics of (Ni47Ti44) 100− xNbx Shape Memory Alloys,2006.0,10.0,10.0,44.14835165,Ni44.14835164835166Ti40.85164835164835Nb15.0 %,40.85164835,15.0
X. He; D. Yan; L. Rong and Y. Li,AIP Conference Proceedings,Effect of Thermal Cycling on Martensitic Transformation Characteristics of (Ni47Ti44) 100− xNbx Shape Memory Alloys,2006.0,10.0,10.0,44.14835165,Ni44.14835164835166Ti40.85164835164835Nb15.0 %,40.85164835,15.0
X.-M. He; L.-Z. Zhao; S.-F. Zhang; S.-W. Duo and R.-F. Zhang,Materials Science and Engineering: A,Study of the thermal physical properties of Ti47Ni44Nb9 wide hysteresis shape memory alloy,2006.0,5.0,5.0,44.0,Ni44.0Ti47.0Nb9.0 %,47.0,9.0
K. Uchida; N. Shigenaka; T. Sakuma; Y. Sutou and K. Yamauchi,Materials transactions,Effect of Nb content on martensitic transformation temperatures and mechanical properties of Ti-Ni-Nb shape memory alloys for pipe joint applications,2007.0,10.0,10.0,49.0,Ni49.0Ti45.04Nb5.96 %,45.04,5.96
K. Uchida; N. Shigenaka; T. Sakuma; Y. Sutou and K. Yamauchi,Materials transactions,Effect of Nb content on martensitic transformation temperatures and mechanical properties of Ti-Ni-Nb shape memory alloys for pipe joint applications,2007.0,10.0,10.0,49.0,Ni49.0Ti45.04Nb5.96 %,45.04,5.96
K. Uchida; N. Shigenaka; T. Sakuma; Y. Sutou and K. Yamauchi,Materials transactions,Effect of Nb content on martensitic transformation temperatures and mechanical properties of Ti-Ni-Nb shape memory alloys for pipe joint applications,2007.0,10.0,10.0,49.0,Ni49.0Ti45.04Nb5.96 %,45.04,5.96
K. Uchida; N. Shigenaka; T. Sakuma; Y. Sutou and K. Yamauchi,Materials transactions,Effect of Nb content on martensitic transformation temperatures and mechanical properties of Ti-Ni-Nb shape memory alloys for pipe joint applications,2007.0,10.0,10.0,45.8,Ni45.8Ti45.1Nb9.1 %,45.1,9.1
K. Uchida; N. Shigenaka; T. Sakuma; Y. Sutou and K. Yamauchi,Materials transactions,Effect of Nb content on martensitic transformation temperatures and mechanical properties of Ti-Ni-Nb shape memory alloys for pipe joint applications,2007.0,10.0,10.0,45.8,Ni45.8Ti45.1Nb9.1 %,45.1,9.1
K. Uchida; N. Shigenaka; T. Sakuma; Y. Sutou and K. Yamauchi,Materials transactions,Effect of Nb content on martensitic transformation temperatures and mechanical properties of Ti-Ni-Nb shape memory alloys for pipe joint applications,2007.0,10.0,10.0,45.8,Ni45.8Ti45.1Nb9.1 %,45.1,9.1
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
J. E. Massad; T. E. Buchheit and J. T. McLaughlin,,Characterization of shape memory alloys for safety mechanisms,2008.0,2.0,2.0,46.4,Ni46.4Ti45.0Nb8.6 %,45.0,8.6
A. Bansiddhi and D. C. Dunand,Journal of Materials Research,Shape-memory NiTi–Nb foams,2009.0,10.0,10.0,48.45,Ni48.45Ti48.45Nb3.1 %,48.45,3.1
A. Bansiddhi and D. C. Dunand,Journal of Materials Research,Shape-memory NiTi–Nb foams,2009.0,10.0,10.0,48.45,Ni48.45Ti48.45Nb3.1 %,48.45,3.1
A. Bansiddhi and D. C. Dunand,Journal of Materials Research,Shape-memory NiTi–Nb foams,2009.0,10.0,10.0,48.45,Ni48.45Ti48.45Nb3.1 %,48.45,3.1
F. Xiao; G. Ma; X. Zhao and H. Xu,Chinese Journal of Aeronautics,Effects of Nb content on yield strength of NiTiNb alloys in martensite state,2009.0,5.0,5.0,50.0,Ni50.0Ti48.0Nb2.0 %,48.0,2.0
F. Xiao; G. Ma; X. Zhao and H. Xu,Chinese Journal of Aeronautics,Effects of Nb content on yield strength of NiTiNb alloys in martensite state,2009.0,5.0,5.0,49.5,Ni49.5Ti46.5Nb4.0 %,46.5,4.0
D. Jiang; L. Cui; Y. Zheng and X. Jiang,Journal of materials engineering and performance,Effects of thermal cycling on the temperature memory effect of TiNiNb alloy,2010.0,10.0,10.0,17.0,Ni17.0Ti48.0Nb35.0 %,48.0,35.0
Y. G. Song; F. Chen; L. Li and Y. F. Zheng,Key Engineering Materials,Manufacturing Technology and Material Characterization of Ti44Ni47Nb9 Alloy Fastener Ring by Tungsten Inert Gas Welding,2010.0,20.0,20.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
Z. Yan; L. Cui; Y. Zheng and T. Liu,Journal of materials engineering and performance,Effects of Hydrogen on Ni 47 Ti 44 Nb 9 Shape Memory Alloy,2010.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
Z. Yan; L. Cui; Y. Zheng and T. Liu,Journal of materials engineering and performance,Effects of Hydrogen on Ni 47 Ti 44 Nb 9 Shape Memory Alloy,2010.0,5.0,5.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
Z. Yan; L. Cui; Y. Zheng and T. Liu,Journal of materials engineering and performance,Effects of Hydrogen on Ni 47 Ti 44 Nb 9 Shape Memory Alloy,2010.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
D. Mareci; R. Chelariu; A. Cailean and D. Sutiman,Materials and Corrosion,Electrochemical characterization of Ni47. 7Ti37. 8Nb14. 5 shape memory alloy in artificial saliva,2011.0,15.0,15.0,46.2,Ni46.2Ti44.9Nb8.9 %,44.9,8.9
W. Pilarczyk; R. Nowosielski; A. Pilarczyk and P. Sakiewicz,Archives of Materials Science and Engineering,A production attempt of Ni50Ti50 and Ni52Ti41Nb7 alloys by mechanical alloying method,2011.0,50.0,50.0,52.0,Ni52.0Ti41.0Nb7.0 %,41.0,7.0
C. Ying; J. Hai-Chang; R. Li-Jian; X. Li and Z. Xin-Qing,Intermetallics,Mechanical behavior in NiTiNb shape memory alloys with low Nb content,2011.0,10.0,10.0,50.2,Ni50.2Ti46.3Nb3.5 %,46.3,3.5
C. Ying; J. Hai-Chang; R. Li-Jian; X. Li and Z. Xin-Qing,Intermetallics,Mechanical behavior in NiTiNb shape memory alloys with low Nb content,2011.0,10.0,10.0,49.9,Ni49.9Ti45.6Nb4.5 %,45.6,4.5
C. Ying; J. Hai-Chang; R. Li-Jian; X. Li and Z. Xin-Qing,Intermetallics,Mechanical behavior in NiTiNb shape memory alloys with low Nb content,2011.0,10.0,10.0,49.8,Ni49.8Ti45.2Nb5.0 %,45.2,5.0
Z. W. Feng; X. J. Mi; J. B. Wang; Z. S. Yuan and J. Zhou,Advanced Materials Research,Effect of Annealing Temperature on the Transformation Temperature and Texture of Ni47Ti44Nb9 Cold-Rolled Plate,2012.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
Z. W. Feng; X. J. Mi; J. B. Wang; Z. S. Yuan and J. Zhou,Advanced Materials Research,Effect of Annealing Temperature on the Transformation Temperature and Texture of Ni47Ti44Nb9 Cold-Rolled Plate,2012.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
Z. W. Feng; J. B. Wang; X. J. Mi; W. D. Miao; Z. S. Yuan and J. Zhou,Advanced Materials Research,Effects of Ni/Ti Ratio and Heat-Treatment on Transformation Temperature; Mechanical Properties and Shape Recovery Strain of Ni-Ti-Nb Alloy,2012.0,10.0,10.0,46.91,Ni46.91Ti44.09Nb9.0 %,44.09,9.0
Z. W. Feng; J. B. Wang; X. J. Mi; W. D. Miao; Z. S. Yuan and J. Zhou,Advanced Materials Research,Effects of Ni/Ti Ratio and Heat-Treatment on Transformation Temperature; Mechanical Properties and Shape Recovery Strain of Ni-Ti-Nb Alloy,2012.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
Z. W. Feng; J. B. Wang; X. J. Mi; W. D. Miao; Z. S. Yuan and J. Zhou,Advanced Materials Research,Effects of Ni/Ti Ratio and Heat-Treatment on Transformation Temperature; Mechanical Properties and Shape Recovery Strain of Ni-Ti-Nb Alloy,2012.0,10.0,10.0,47.15,Ni47.15Ti43.85Nb9.0 %,43.85,9.0
J. Jiang; L. Cui; Y. Zheng; D. Jiang; Z. Liu and K. Zhao,Materials Science and Engineering: A,Negative thermal expansion arrest point memory effect in TiNi shape memory alloy and NbTi/TiNi composite,2012.0,0.3125,0.3125,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
J. Jiang; L. Cui; Y. Zheng; D. Jiang; Z. Liu and K. Zhao,Materials Science and Engineering: A,Negative thermal expansion arrest point memory effect in TiNi shape memory alloy and NbTi/TiNi composite,2012.0,0.3125,0.3125,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
J. Jiang; L. Cui; Y. Zheng; D. Jiang; Z. Liu and K. Zhao,Materials Science and Engineering: A,Negative thermal expansion arrest point memory effect in TiNi shape memory alloy and NbTi/TiNi composite,2012.0,0.3125,0.3125,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
J. Jiang; L. Cui; Y. Zheng; D. Jiang; Z. Liu and K. Zhao,Materials Science and Engineering: A,Negative thermal expansion arrest point memory effect in TiNi shape memory alloy and NbTi/TiNi composite,2012.0,0.3125,0.3125,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.0,Ni45.0Ti45.1Nb9.9 %,45.1,9.9
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.0,Ni45.0Ti45.0Nb10.0 %,45.0,10.0
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.0,Ni45.0Ti45.0Nb10.0 %,45.0,10.0
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.0,Ni45.0Ti45.0Nb10.0 %,45.0,10.0
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.0,Ni45.0Ti45.0Nb10.0 %,45.0,10.0
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.4,Ni45.4Ti44.5Nb10.1 %,44.5,10.1
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.4,Ni45.4Ti44.5Nb10.1 %,44.5,10.1
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.4,Ni45.4Ti44.5Nb10.1 %,44.5,10.1
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.4,Ni45.4Ti44.5Nb10.1 %,44.5,10.1
N. Popov; A. Aushev; T. Sysoeva; E. Shchedrina and E. Suvorova,Russian Metallurgy (Metally),Structure; elemental and phase compositions; and phase transformation kinetics in Ti-Ni-Nb Shape memory alloys,2012.0,5.0,5.0,45.4,Ni45.4Ti44.5Nb10.1 %,44.5,10.1
D. Jiang; L. Cui; J. Jiang and Y. Zheng,Materials Research Bulletin,In situ NiTi/Nb (Ti) composite,2013.0,10.0,10.0,15.0,Ni15.0Ti27.0Nb58.0 %,27.0,58.0
H. Liu; G. Sun; Y. Wang; B. Chen; Q. Tian; X. Wang and C. Zhang,Materials Science and Technology,Texture evolution in shocked Ni47Ti44Nb9 shape memory alloys,2013.0,5.0,5.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
F. F. R. Pereira; J. de Brito Simões and C. J. de Araújo,22nd International Congress of Mechanical Engineering (COBEM 2013); Ribeirão Preto-SP. Proceedings of COBEM,Development and thermomechanical characterization of shape memory alloy conical actuators,2013.0,5.0,5.0,48.0,Ni48.0Ti38.0Nb14.0 %,38.0,14.0
F. F. R. Pereira; J. de Brito Simões and C. J. de Araújo,22nd International Congress of Mechanical Engineering (COBEM 2013); Ribeirão Preto-SP. Proceedings of COBEM,Development and thermomechanical characterization of shape memory alloy conical actuators,2013.0,5.0,5.0,48.0,Ni48.0Ti38.0Nb14.0 %,38.0,14.0
F. F. R. Pereira; J. de Brito Simões and C. J. de Araújo,22nd International Congress of Mechanical Engineering (COBEM 2013); Ribeirão Preto-SP. Proceedings of COBEM,Development and thermomechanical characterization of shape memory alloy conical actuators,2013.0,5.0,5.0,48.0,Ni48.0Ti38.0Nb14.0 %,38.0,14.0
G. Sun; X. Wang; Y. Wang; W. Woo; H. Wang; X. Liu; B. Chen; Y. Q. Fu; L. Sheng and Y. Ren,Materials Science and Engineering: A,In-situ high-energy synchrotron X-ray diffraction study of micromechanical behavior of multiple phases in Ni47Ti44Nb9 shape memory alloy,2013.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. Shu; S. Lu; G. Li; J. Liu and P. Peng,Journal of Alloys and Compounds,Nb solution influencing on phase transformation temperature of Ni47Ti44Nb9 alloy,2014.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. Shu; S. Lu; G. Li; J. Liu and P. Peng,Journal of Alloys and Compounds,Nb solution influencing on phase transformation temperature of Ni47Ti44Nb9 alloy,2014.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. Shu; S. Lu; G. Li; J. Liu and P. Peng,Journal of Alloys and Compounds,Nb solution influencing on phase transformation temperature of Ni47Ti44Nb9 alloy,2014.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. Shu; S. Lu; G. Li; J. Liu and P. Peng,Journal of Alloys and Compounds,Nb solution influencing on phase transformation temperature of Ni47Ti44Nb9 alloy,2014.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. Shu; S. Lu; G. Li; J. Liu and P. Peng,Journal of Alloys and Compounds,Nb solution influencing on phase transformation temperature of Ni47Ti44Nb9 alloy,2014.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
X. Shu; S. Lu; G. Li; J. Liu and P. Peng,Journal of Alloys and Compounds,Nb solution influencing on phase transformation temperature of Ni47Ti44Nb9 alloy,2014.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
Y. Tong; P. Jiang; F. Chen; B. Tian; L. Li; Y. Zheng; D. V. Gunderov and R. Z. Valiev,Intermetallics,Microstructure and martensitic transformation of an ultrafine-grained TiNiNb shape memory alloy processed by equal channel angular pressing,2014.0,20.0,20.0,44.0,Ni44.0Ti47.0Nb9.0 %,47.0,9.0
Y. Tong; P. Jiang; F. Chen; B. Tian; L. Li; Y. Zheng; D. V. Gunderov and R. Z. Valiev,Intermetallics,Microstructure and martensitic transformation of an ultrafine-grained TiNiNb shape memory alloy processed by equal channel angular pressing,2014.0,20.0,20.0,44.0,Ni44.0Ti47.0Nb9.0 %,47.0,9.0
C. Bewerse; L. Brinson and D. Dunand,Materials Science and Engineering: A,Microstructure and mechanical properties of as-cast quasibinary NiTi–Nb eutectic alloy,2015.0,10.0,10.0,38.9,Ni38.9Ti41.1Nb20.0 %,41.1,20.0
X. Chen; X. Peng; B. Chen; J. Han; Z. Zeng and N. Hu,Smart Materials and Structures,Experimental investigation on transformation; reorientation and plasticity of Ni47Ti44Nb9 SMA under biaxial thermal–mechanical loading,2015.0,10.0,10.0,47.0,Ni47.0Ti44.0Nb9.0 %,44.0,9.0
R. F. Hamilton; A. Lanba; O. E. Ozbulut and B. R. Tittmann,Shape Memory and Superelasticity,Shape memory effect in cast versus deformation-processed NiTiNb alloys,2015.0,5.0,5.0,47.3,Ni47.3Ti44.1Nb8.6 %,44.1,8.6
R. F. Hamilton; A. Lanba; O. E. Ozbulut and B. R. Tittmann,Shape Memory and Superelasticity,Shape memory effect in cast versus deformation-processed NiTiNb alloys,2015.0,5.0,5.0,47.3,Ni47.3Ti44.1Nb8.6 %,44.1,8.6
R. F. Hamilton; A. Lanba; O. E. Ozbulut and B. R. Tittmann,Shape Memory and Superelasticity,Shape memory effect in cast versus deformation-processed NiTiNb alloys,2015.0,5.0,5.0,47.3,Ni47.3Ti44.1Nb8.6 %,44.1,8.6
R. F. Hamilton; A. Lanba; O. E. Ozbulut and B. R. Tittmann,Shape Memory and Superelasticity,Shape memory effect in cast versus deformation-processed NiTiNb alloys,2015.0,5.0,5.0,47.3,Ni47.3Ti44.1Nb8.6 %,44.1,8.6
R. F. Hamilton; A. Lanba; O. E. Ozbulut and B. R. Tittmann,Shape Memory and Superelasticity,Shape memory effect in cast versus deformation-processed NiTiNb alloys,2015.0,5.0,5.0,47.3,Ni47.3Ti44.1Nb8.6 %,44.1,8.6
T. Goryczka; K. Piżuch and M. Dworak,Key Engineering Materials,Structure and Martensitic Transformation in Ti50Ni (50-X) NbX (X= 5; 10) Alloy Produced by Powder Metallurgy,2016.0,10.0,10.0,45.0,Ni45.0Ti50.0Nb5.0 %,50.0,5.0
T. Goryczka; K. Piżuch and M. Dworak,Key Engineering Materials,Structure and Martensitic Transformation in Ti50Ni (50-X) NbX (X= 5; 10) Alloy Produced by Powder Metallurgy,2016.0,10.0,10.0,45.0,Ni45.0Ti50.0Nb5.0 %,50.0,5.0
