Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Cu (at.%)
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,10.0,10.0,33.1,Ni33.1Ti51.5Cu15.4 %,51.5,15.4
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,10.0,10.0,27.4,Ni27.4Ti51.7Cu20.9 %,51.7,20.9
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
K. Hori; T. Namazu and S. Inoue,Thin Solid Films,Effect of Cu content on the shape memory behavior of Ti–Ni–Cu alloy thin films prepared by triple-source dc magnetron sputtering,2010.0,5.0,5.0,41.8,Ni41.8Ti52.1Cu6.1 %,52.1,6.1
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,48.3,Ni48.3Ti28.4Cu23.3 %,28.4,23.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida; M. Sato and K. Ogawa,Philosophical Magazine Letters,Microstructure and shape-memory behavior of annealed Ti51.5Ni33.1Cu15.4 thin films,2006.0,10.0,10.0,33.1,Ni33.1Ti51.5Cu15.4 %,51.5,15.4
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,48.3,Ni48.3Ti28.4Cu23.3 %,28.4,23.3
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,23.9,Ni23.9Ti48.3Cu27.8 %,48.3,27.8
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,10.0,10.0,27.4,Ni27.4Ti51.7Cu20.9 %,51.7,20.9
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,21.1,Ni21.1Ti51.3Cu27.6 %,51.3,27.6
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,15.7,Ni15.7Ti51.2Cu33.1 %,51.2,33.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,10.0,10.0,41.6,Ni41.6Ti51.9Cu6.5 %,51.9,6.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Fu; H. Du; S. Zhang and Y. Gu,Surface and Coatings Technology,Stress and surface morphology of TiNiCu thin films: effect of annealing temperature,2005.0,1.0,1.0,47.5,Ni47.5Ti49.5Cu3.0 %,49.5,3.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Fu; H. Du; S. Zhang and Y. Gu,Surface and Coatings Technology,Stress and surface morphology of TiNiCu thin films: effect of annealing temperature,2005.0,1.0,1.0,47.5,Ni47.5Ti49.5Cu3.0 %,49.5,3.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
A. Ishida and M. Sato,Philosophical Magazine,Microstructure and shape memory behaviour of annealed Ti51.5Ni(48.5- x )Cu x ( x  = 6.5–20.9) thin films,2007.0,10.0,10.0,41.6,Ni41.6Ti51.9Cu6.5 %,51.9,6.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida; M. Sato and K. Ogawa,Materials Science and Engineering: A,Microstructure and shape memory behavior of annealed Ti–36.8at.% Ni–11.6at.% Cu thin film,2008.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
Y. Fu; H. Du; S. Zhang and Y. Gu,Surface and Coatings Technology,Stress and surface morphology of TiNiCu thin films: effect of annealing temperature,2005.0,1.0,1.0,47.5,Ni47.5Ti49.5Cu3.0 %,49.5,3.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
N. G. Jones and D. Dye,Intermetallics,Influence of applied stress on the transformation behaviour and martensite evolution of a Ti–Ni–Cu shape memory alloy,2013.0,1.0,1.0,41.0,Ni41.0Ti50.0Cu9.0 %,50.0,9.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
G.-b. Cho; C.-a. Yu; J.-h. Lee; Y.-w. Kim and T.-h. Nam,Scripta Materialia,Lattice deformation and shape memory characteristics of Ti–30Ni–20Cu(at.%) alloy ribbons,2006.0,1.0,1.0,30.0,Ni30.0Ti50.0Cu20.0 %,50.0,20.0
K. Hori; T. Namazu and S. Inoue,Thin Solid Films,Effect of Cu content on the shape memory behavior of Ti–Ni–Cu alloy thin films prepared by triple-source dc magnetron sputtering,2010.0,5.0,5.0,32.9,Ni32.9Ti48.1Cu19.0 %,48.1,19.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida; M. Sato; K. Ogawa and K. Yamada,Materials Science and Engineering: A,Shape memory behavior of Ti–Ni–Cu thin films,2006.0,10.0,10.0,36.8,Ni36.8Ti51.6Cu11.6 %,51.6,11.6
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,18.0,Ni18.0Ti48.5Cu33.5 %,48.5,33.5
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
K. Hori; T. Namazu and S. Inoue,Thin Solid Films,Effect of Cu content on the shape memory behavior of Ti–Ni–Cu alloy thin films prepared by triple-source dc magnetron sputtering,2010.0,5.0,5.0,41.8,Ni41.8Ti52.1Cu6.1 %,52.1,6.1
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
T. Hashinaga; S. Miyazaki; T. Ueki and H. Horikawa,Journal de Physique IV,Transformation and deformation behavior in sputter-deposited Ti-Ni-Cu thin films,1995.0,10.0,10.0,42.6,Ni42.6Ti52.4Cu5.0 %,52.4,5.0
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,40.0,Ni40.0Ti48.5Cu11.5 %,48.5,11.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,40.0,Ni40.0Ti48.5Cu11.5 %,48.5,11.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,35.9,Ni35.9Ti48.6Cu15.5 %,48.6,15.5
A. Ishida and M. Sato,Philosophical Magazine,Shape memory behaviour of annealed Ti48.5Ni(51.5− x )Cu x (x = 6.2–33.5) thin films,2008.0,10.0,10.0,23.9,Ni23.9Ti48.3Cu27.8 %,48.3,27.8
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,11.3,Ni11.3Ti51.4Cu37.3 %,51.4,37.3
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
Y. Tong; Y. Liu; Z. Xie and M. Zarinejad,Acta Materialia,Effect of precipitation on the shape memory effect of Ti50Ni25Cu25 Melt Spun ribbon,2008.0,2.0,2.0,25.0,Ni25.0Ti50.0Cu25.0 %,50.0,25.0
A. Ishida and M. Sato,Intermetallics,Shape memory behaviour of Ti51.5Ni(48.5−x)Cux (x=23.4–37.3) thin films with submicron grain sizes,2011.0,10.0,10.0,25.2,Ni25.2Ti51.4Cu23.4 %,51.4,23.4
